,Turn,Speaker,Text,True,Pred
26,2,1,"Noe only iphone 5 or less, I can let it go for a deal but only right now at $45",Not-a-strategy,Self Assertion-Empowerment
27,3,0,Okay. Before I decide...what color is it?,Information Inquiry-Contesting,Self Assertion-Empowerment
28,3,1,Comes in black,Not-a-strategy,Self Assertion-Empowerment
29,4,0,Okay. Then we have a deal. 45 and I can google wallet you the money when I pick it up today. Cool?,Not-a-strategy,Self Assertion-Empowerment
30,4,1,Yup its a deal,Not-a-strategy,Self Assertion-Empowerment
31,0,1,Hello! I am selling a night stand from a store called The Crate & Barrel. It is a very nice night stand!,Not-a-strategy,Self Assertion-Empowerment
32,0,0,hi! i am interested in buying but how good is the condition?,Source Derogation-Contesting,Self Assertion-Empowerment
33,1,1,It is very good. It is actually a family heirloom passed down by my grandmother and she recently passed away 2 days ago. The nightstand is empty however. Her stuff have been emptied.,Not-a-strategy,Self Assertion-Empowerment
34,1,0,im sorry to hear to that. for how much do you wanna give it away?,Not-a-strategy,Self Assertion-Empowerment
35,2,1,"Well her will listed the value of this item at 200 US dollars, but if you pick it up from her home I am willing to go lower.",Not-a-strategy,Self Assertion-Empowerment
36,2,0,how lower would you go then?,Not-a-strategy,Self Assertion-Empowerment
37,3,1,190$ and I can provide lemonade as you move it out.,Not-a-strategy,Self Assertion-Empowerment
38,3,0,that would be nice. but how about 180 since im the one picking it up and with its one handle missing?,Counter Argumentation-Contesting,Self Assertion-Empowerment
39,4,1,"I can attach it for you, but I am needing the money because I am short for paying my grandma's funeral for $190.",Self Pity-Empowement,Self Assertion-Empowerment
40,4,0,im sorry to hear that. 190 would be good.,Not-a-strategy,Self Assertion-Empowerment
41,5,1,Thats okay she was very old. I think 98,Not-a-strategy,Self Assertion-Empowerment
42,0,1,Hi!,Not-a-strategy,Self Assertion-Empowerment
43,0,0,Hi I'm interested in this car,Not-a-strategy,Self Assertion-Empowerment
44,1,1,Great. It is in awesome shape.,Not-a-strategy,Self Assertion-Empowerment
45,1,0,It's more then I would like to spend though,Hesitance-Hesitance,Self Assertion-Empowerment
46,2,1,How much are you wanting to spend?,Not-a-strategy,Self Assertion-Empowerment
47,2,0,umm I was thinking around 2660$,Hesitance-Hesitance,Self Assertion-Empowerment
48,3,1,I could do 3200. It has new tires.,Counter Argumentation-Contesting,Self Assertion-Empowerment
49,3,0,"well, that's a bit high...",Hesitance-Hesitance,Self Assertion-Empowerment
50,4,1,I feel based on kelly blue book it is a fair offer. I have put a lot of work in this car to get it in great shape.,Counter Argumentation-Contesting,Self Assertion-Empowerment
51,4,0,"Are you good at detailing the inside and outside of cars? I'll pay 3200 if you throw in free detailing for the next two years, at least twice a year.",Personal Choice-Empowerment,Self Assertion-Empowerment
52,5,1,No. I can't do that. I will get it professionally detailed before meeting you but that is it.,Not-a-strategy,Self Assertion-Empowerment
53,5,0,okay then I can only do 2950,Self Assertion-Empowerment,Self Assertion-Empowerment
54,6,1,I can do 3000. That is the absolute lowest I can go.,Self Assertion-Empowerment,Self Assertion-Empowerment
55,6,0,okay deal.,Not-a-strategy,Self Assertion-Empowerment
56,0,0,"I would like to purchase this item, but please could you give me some details about it?",Information Inquiry-Contesting,Self Assertion-Empowerment
57,0,1,"SUre, It is in very good shape, the paint is clean and there is no rust It is a large bike so you have to  be steady while riding it, it is a bit different that riding a single bike.",Not-a-strategy,Self Assertion-Empowerment
58,1,0,Great thanks. This would be a good addition to my collection. Is it new or used though?,Information Inquiry-Contesting,Self Assertion-Empowerment
59,1,1,It is very gently used. Used a few times last summer.,Not-a-strategy,Self Assertion-Empowerment
60,2,0,Okay so I can probably give around $114 for it. How about that?,Hesitance-Hesitance,Self Assertion-Empowerment
61,2,1,Well I was asking 150 but could go as low as 120.00,Hesitance-Hesitance,Self Assertion-Empowerment
62,3,0,Sure $120 but I need a delivery with it. Would that be possible from your front of the deal?,Personal Choice-Empowerment,Self Assertion-Empowerment
63,3,1,Sure I can deliver it to you. That would be fine.,Not-a-strategy,Self Assertion-Empowerment
64,4,0,Great then. When can you deliver it to me?,Not-a-strategy,Self Assertion-Empowerment
65,4,1,Saturday is the first day I have off so I could on Saturday.,Not-a-strategy,Self Assertion-Empowerment
66,5,0,Sounds good to me. Deal then! Thanks,Not-a-strategy,Self Assertion-Empowerment
67,0,1,hi,Not-a-strategy,Self Assertion-Empowerment
68,0,0,hello,Not-a-strategy,Self Assertion-Empowerment
69,1,1,are you interested,Not-a-strategy,Self Assertion-Empowerment
70,1,0,yes I like the color of the lamp.  How long have you had it?,Information Inquiry-Contesting,Self Assertion-Empowerment
71,2,1,not long it's a great lamp,Not-a-strategy,Self Assertion-Empowerment
72,2,0,Ok.  Who is the designer?,Information Inquiry-Contesting,Self Assertion-Empowerment
73,3,1,ruffled lamp  with wooden base,Not-a-strategy,Self Assertion-Empowerment
74,3,0,Yeah I saw that in your listing.  But you said it's a designer lamp.  Who is the designer?,Source Derogation-Contesting,Self Assertion-Empowerment
75,4,1,it's a new designer,Not-a-strategy,Self Assertion-Empowerment
76,4,0,"Ok, would you be willing to take $50 for it?",Hesitance-Hesitance,Self Assertion-Empowerment
77,5,1,the lowest i can go is $65 dollars it's to nice to go that low i'm tring to work with you,Self Assertion-Empowerment,Self Assertion-Empowerment
78,5,0,"Money is a little tight on my end.  And since it's a new designer and not anyone really well known, can we compromise?  $60 and you have a deal!",Source Derogation-Contesting,Self Assertion-Empowerment
79,6,1,deal since i need the money $60 is fine,Not-a-strategy,Self Assertion-Empowerment
80,6,0,"Ok, great!  Pleasure doing business with you!",Not-a-strategy,Self Assertion-Empowerment
81,0,0,Hello,Not-a-strategy,Self Assertion-Empowerment
82,0,1,Hello there.,Not-a-strategy,Self Assertion-Empowerment
83,1,0,Tell me about the property.,Not-a-strategy,Self Assertion-Empowerment
84,1,1,It is a very large 1 bedroom 1 bath,Not-a-strategy,Self Assertion-Empowerment
85,2,0,Is there trash service?,Information Inquiry-Contesting,Self Assertion-Empowerment
86,2,1,"No, it is not included but I can throw it in for you if you like.",Not-a-strategy,Self Assertion-Empowerment
87,3,0,Ok I can offerv1743,Hesitance-Hesitance,Self Assertion-Empowerment
88,3,1,It is a very nice exclusive area. I am willing to accept 1850,Counter Argumentation-Contesting,Self Assertion-Empowerment
89,4,0,What about cable and the light bill? Is that included?,Information Inquiry-Contesting,Self Assertion-Empowerment
90,4,1,"Both are not. I can throw in free internet, but the light bill is separate.",Not-a-strategy,Self Assertion-Empowerment
91,5,0,1790?,Hesitance-Hesitance,Self Assertion-Empowerment
92,5,1,I really would like to get at least 1850 for it. I can throw in a $50 light credit per month.,Counter Argumentation-Contesting,Self Assertion-Empowerment
93,6,0,Ok deal,Not-a-strategy,Self Assertion-Empowerment
94,6,1,Thanks. I know you will love it.,Not-a-strategy,Self Assertion-Empowerment
95,7,0,Your welcome,Not-a-strategy,Self Assertion-Empowerment
96,0,1,Hello,Not-a-strategy,Self Assertion-Empowerment
97,0,0,Howdy Partner,Not-a-strategy,Self Assertion-Empowerment
98,1,1,I am selling this nice bathroom sink for 1400,Not-a-strategy,Self Assertion-Empowerment
99,1,0,That is a very expensive sink...,Source Derogation-Contesting,Self Assertion-Empowerment
100,2,1,"woops actually its an apartment i guess, I only posted 1 picture of a sink",Not-a-strategy,Self Assertion-Empowerment
101,2,0,I understand. I'm having one of those mornings myself. It is a nice sink though...,Not-a-strategy,Self Assertion-Empowerment
102,3,1,"yes, it is included with this fabulous apartment. It has its own private bath, a ""fresh new look"", and you only have to pay for the garbage man!!!",Not-a-strategy,Self Assertion-Empowerment
103,3,0,"That all sounds great. I've been given some advice, I'm not sure if it is good advice though cause it sounds kind of crazy.. I'm told I should only pay 840...",Hesitance-Hesitance,Self Assertion-Empowerment
104,4,1,"hmm, I see. Well this apartment is in a nice area, very near to Emeryville Bay Street. West MAcArthur Bart is only 8-10 blocks away. I am asking for 1400 but I can negotiate the price.",Counter Argumentation-Contesting,Self Assertion-Empowerment
105,4,0,Ok I think the advice I have been given can't be good because real estate prices are pretty fixed in my experience... what do you think about 1200,Hesitance-Hesitance,Self Assertion-Empowerment
106,5,1,1200 sounds great! I will put that price in the final agreement box so we can close this deal.,Not-a-strategy,Self Assertion-Empowerment
107,5,0,"Great, thanks",Not-a-strategy,Self Assertion-Empowerment
108,6,1,congratulations on your new apartment!,Not-a-strategy,Self Assertion-Empowerment
109,0,1,are you interested in the bike,Not-a-strategy,Self Assertion-Empowerment
110,0,0,may be,Not-a-strategy,Self Assertion-Empowerment
111,1,1,okay all the specs are in the discpition ill willing to negotiate a little,Not-a-strategy,Self Assertion-Empowerment
112,1,0,perhaps I can pay you 3 dollars,Hesitance-Hesitance,Self Assertion-Empowerment
113,2,1,are you serious are joking i'll give you the bike for $155,Hesitance-Hesitance,Self Assertion-Empowerment
114,2,0,I will pay you 100 dollars,Hesitance-Hesitance,Self Assertion-Empowerment
115,3,1,perhaps you might not make this deal $155 is a Great price,Counter Argumentation-Contesting,Self Assertion-Empowerment
116,3,0,How about 133?,Hesitance-Hesitance,Self Assertion-Empowerment
117,4,1,i'm firm on $150 if you can't afford i'll have to pass,Self Assertion-Empowerment,Self Assertion-Empowerment
118,4,0,I will pay you 133 and that is at.,Self Assertion-Empowerment,Self Assertion-Empowerment
119,5,1,how you gonna price my bike $150 are you don't have a deal guy,Self Assertion-Empowerment,Self Assertion-Empowerment
120,0,0,Hi there can you tell me a little more about this car as the add has little to no information posted but i am very interested.,Source Derogation-Contesting,Self Assertion-Empowerment
121,0,1,"Hello are you interested in this car? Yes, it is a garage kept 2004 BMW 325 convertible.  It has 100000 miles and a clean title.",Not-a-strategy,Self Assertion-Empowerment
122,1,0,has it ever been in a accident?,Source Derogation-Contesting,Self Assertion-Empowerment
123,1,1,No not at all.  I have kept this car like it was my own baby.,Not-a-strategy,Self Assertion-Empowerment
124,2,0,how about smoking in the car? does it smell like an ashtray?,Source Derogation-Contesting,Self Assertion-Empowerment
125,2,1,"No, it never been smoked it",Not-a-strategy,Self Assertion-Empowerment
126,3,0,Would you take $3600 for it?,Hesitance-Hesitance,Self Assertion-Empowerment
127,3,1,I think that is to low of an offer.  I just put $1200 dollar new tires on it and transformed the seats into leather heated seats for another $1000.  Would you accept 5500?,Not-a-strategy,Self Assertion-Empowerment
128,4,0,that's a little high for me how about $4000,Hesitance-Hesitance,Self Assertion-Empowerment
129,4,1,deal,Not-a-strategy,Self Assertion-Empowerment
130,0,1,I'd like to sell this item for 350,Not-a-strategy,Self Assertion-Empowerment
131,0,0,hi,Not-a-strategy,Self Assertion-Empowerment
132,1,1,Howdy,Not-a-strategy,Self Assertion-Empowerment
133,1,0,would you take $200,Hesitance-Hesitance,Self Assertion-Empowerment
134,2,1,Hmmm that's too low for me sadly. Can we meet somewhere in the middle?,Hesitance-Hesitance,Self Assertion-Empowerment
135,2,0,$230.00,Hesitance-Hesitance,Self Assertion-Empowerment
136,3,1,"Although I'm selling myself short, I can cut you a deal for 265",Self Pity-Empowement,Self Assertion-Empowerment
137,3,0,You have it listed for 250?,Source Derogation-Contesting,Self Assertion-Empowerment
138,4,1,"Unless you're willing to come pick it up and have cash, I'll do 260",Personal Choice-Empowerment,Self Assertion-Empowerment
139,4,0,Can you throw in anything else with it? like wiring,Personal Choice-Empowerment,Self Assertion-Empowerment
140,5,1,"hmmm I can toss some allen wrenches your way, and I can tack on a 3 month warranty",Not-a-strategy,Self Assertion-Empowerment
141,5,0,That works for me,Not-a-strategy,Self Assertion-Empowerment
142,6,1,So $260 final deal?,Self Assertion-Empowerment,Self Assertion-Empowerment
143,6,0,yes 260,Not-a-strategy,Self Assertion-Empowerment
144,0,1,hello,Not-a-strategy,Self Assertion-Empowerment
145,0,0,"Hi, I'm interested in renting your apartment.",Not-a-strategy,Self Assertion-Empowerment
146,1,1,"Great!  I've had a lot of people looking at it.  Utilities are paid by the renter, it has new floors and the kitchen has a stainless steel stove, a microwave and refrigerator.",Not-a-strategy,Self Assertion-Empowerment
147,1,0,"Sounds really nice, is there off street parking available?",Information Inquiry-Contesting,Self Assertion-Empowerment
148,2,1,"No, it has on street parking but the area is quiet and it's safe.",Not-a-strategy,Self Assertion-Empowerment
149,2,0,"Oh, ok. I just started a new job so money is a little tight. Could you come down on the rent a little? I could mow the grass if you could discount the rent.",Personal Choice-Empowerment,Self Assertion-Empowerment
150,3,1,That's a good offer.  Do you have a mower?  With that being said I can lower it by 100. making the rent 1695,Personal Choice-Empowerment,Self Assertion-Empowerment
151,3,0,Yes I have a mower and of course would supply the gas. I could also do some maintenance. Could you come down to $1651 if I do repairs for you?,Personal Choice-Empowerment,Self Assertion-Empowerment
152,4,1,Oh that sounds lovely!  I think we can do that.,Not-a-strategy,Self Assertion-Empowerment
153,4,0,"Awesome, I really appreciate that!",Not-a-strategy,Self Assertion-Empowerment
154,0,1,Hello,Not-a-strategy,Self Assertion-Empowerment
155,0,0,"Hello, this sounds like a nice sofa!",Not-a-strategy,Self Assertion-Empowerment
156,1,1,It is! Are you able to pick up?,Personal Choice-Empowerment,Self Assertion-Empowerment
157,1,0,"Couple of questions, is this from a smoke free home?  Were there any pets?",Information Inquiry-Contesting,Self Assertion-Empowerment
158,2,1,"Yes it is, and there is one dog but very clean, he does not go on the couch.",Not-a-strategy,Self Assertion-Empowerment
159,2,0,What is the least you will take for it?,Not-a-strategy,Self Assertion-Empowerment
160,3,1,375,Hesitance-Hesitance,Self Assertion-Empowerment
161,3,0,That sounds fair.  Can I pick it up today?,Information Inquiry-Contesting,Self Assertion-Empowerment
162,4,1,Sure!,Not-a-strategy,Self Assertion-Empowerment
163,4,0,"Ok, see you around 5pm today.  It that good?",Not-a-strategy,Self Assertion-Empowerment
164,0,1,Hi! I have this greaty system here for sale. Perfect for any room. I will deliver to your doorstep for $175,Not-a-strategy,Self Assertion-Empowerment
165,0,0,Hi! Is it in good condition?,Information Inquiry-Contesting,Self Assertion-Empowerment
166,1,1,"excellent condition, never taken out of the box!",Not-a-strategy,Self Assertion-Empowerment
167,1,0,great! what color is that?,Information Inquiry-Contesting,Self Assertion-Empowerment
168,2,1,its a dark dark brown.,Not-a-strategy,Self Assertion-Empowerment
169,2,0,great! It will match my other furniture. Can you go lower? like $130?,Hesitance-Hesitance,Self Assertion-Empowerment
170,3,1,Lowest I can go is 160,Self Assertion-Empowerment,Self Assertion-Empowerment
171,3,0,awww.. not even 155?,Hesitance-Hesitance,Self Assertion-Empowerment
172,4,1,sure.,Not-a-strategy,Self Assertion-Empowerment
173,4,0,Ok great. Thanks,Not-a-strategy,Self Assertion-Empowerment
174,0,1,"Hey so I have a great phone for sale, it's in excellent condition.",Not-a-strategy,Self Assertion-Empowerment
175,0,0,"Hi, I am interested in a phone, are they brand new or used?",Information Inquiry-Contesting,Self Assertion-Empowerment
176,1,1,"It's brand new, I didn't need them. They're $650 each, this is a steal especially since it's $150 off.",Not-a-strategy,Self Assertion-Empowerment
177,1,0,I am a student and would want to work on the price.. is that an option?,Self Pity-Empowement,Self Assertion-Empowerment
178,2,1,"I don't know about that. Do you have a family member or friend who might want one, the price goes down in multiples.",Personal Choice-Empowerment,Self Assertion-Empowerment
179,2,0,I could maybe get my sister in on a deal but it would have to be a great deal.,Not-a-strategy,Self Assertion-Empowerment
180,3,1,They would get knocked down to $600 each. I could also include two cases and glass screen protectors.,Personal Choice-Empowerment,Self Assertion-Empowerment
181,3,0,"Wow, still too high, i was thinking, 380 each.",Hesitance-Hesitance,Self Assertion-Empowerment
182,4,1,"I can't go that low, the lowest I could go is $575. That's only if you buy 2.",Self Assertion-Empowerment,Self Assertion-Empowerment
183,4,0,"I just think this is out of my reach, price wise. I could do 415 tops each.",Self Pity-Empowement,Self Assertion-Empowerment
184,5,1,"No, you're going to have to come up to $525 flat and buy 4.",Self Assertion-Empowerment,Self Assertion-Empowerment
185,5,0,"ha, we are so far from each other. looks like a stalemate. good luck!",Self Assertion-Empowerment,Self Assertion-Empowerment
186,0,1,are you looking for a apartment,Not-a-strategy,Self Assertion-Empowerment
187,0,0,Yes I am. This sounds perfect but I am a little confused as to the price. Is this a rental quote?,Not-a-strategy,Self Assertion-Empowerment
188,1,1,i have a nice 4bedroom spacious apartment,Not-a-strategy,Self Assertion-Empowerment
189,1,0,I am moving to Berkeley from the midwest. Where I live this would rent for about $3000/month. You are asking $6495/month?,Source Derogation-Contesting,Self Assertion-Empowerment
190,2,1,yes cause it's up to date with the latest in technmeras and moreology apple tv led smart tv amazon echo Security ca,Counter Argumentation-Contesting,Self Assertion-Empowerment
191,2,0,"Sounds nice. I have budgeted the assumption of rental responsibility at $5800/month. Could you come down to that? I have excellent credit and references, and would take extremely good care of this apartment.",Counter Argumentation-Contesting,Self Assertion-Empowerment
192,3,1,i can get you in for $5900 a month deal,Hesitance-Hesitance,Self Assertion-Empowerment
193,3,0,Thank you! I can handle $5900. It's a deal?,Not-a-strategy,Self Assertion-Empowerment
194,4,1,ok mee t at 10am tomorrow morning i'll show you around,Not-a-strategy,Self Assertion-Empowerment
195,4,0,Thanks.See you then.,Not-a-strategy,Self Assertion-Empowerment
196,0,1,Hello. Are you interested in the bike?,Not-a-strategy,Self Assertion-Empowerment
197,0,0,"Hello, I see you are selling a bike?",Not-a-strategy,Self Assertion-Empowerment
198,1,1,Yes I am.,Not-a-strategy,Self Assertion-Empowerment
199,1,0,How long have you had it?,Information Inquiry-Contesting,Self Assertion-Empowerment
200,2,1,"I had it for about a year but hardly used it, because my daughter outgrew very quickly, and it was for her actually.",Not-a-strategy,Self Assertion-Empowerment
201,2,0,Was it ever taken to the Mountains?,Information Inquiry-Contesting,Self Assertion-Empowerment
202,3,1,No only used it on the streets,Not-a-strategy,Self Assertion-Empowerment
203,3,0,That's a plus.  Did your daughter ever have an accident or fall off of the bike?,Information Inquiry-Contesting,Self Assertion-Empowerment
204,4,1,No thankfully she did not!,Not-a-strategy,Self Assertion-Empowerment
205,4,0,"Excellent! If you don't mind me asking, how much did you originally pay for it?",Information Inquiry-Contesting,Self Assertion-Empowerment
206,5,1,I had originally got it for $200 but I am now selling it for half the price,Not-a-strategy,Self Assertion-Empowerment
207,5,0,"I see.  I like the bike. It seems like a good deal, but I am very hesitant to pay $100 for it when it is a year old.  Is there any wiggle room on that price?",Counter Argumentation-Contesting,Self Assertion-Empowerment
208,6,1,I could bring it down to $90 that's about it because its not very old.,Counter Argumentation-Contesting,Self Assertion-Empowerment
209,6,0,"$90 pretty good, but I was thinking more along the lines of $80.  Maybe we can meet in the middle at $85?",Hesitance-Hesitance,Self Assertion-Empowerment
210,7,1,I can do $90 and that's about it,Self Assertion-Empowerment,Self Assertion-Empowerment
211,7,0,You drive a hard bargain.  Are you getting a lot of offers for it?,Not-a-strategy,Self Assertion-Empowerment
212,8,1,Yes I am. But I am willing to give it to you for $90. Are you interested?,Not-a-strategy,Self Assertion-Empowerment
213,8,0,"Since you did come down a bit, I guess I could tighten my belt at $90.",Not-a-strategy,Self Assertion-Empowerment
214,9,1,Thank you!,Not-a-strategy,Self Assertion-Empowerment
215,0,0,Hello!  Can you tell me the mileage on this truck?,Information Inquiry-Contesting,Self Assertion-Empowerment
216,0,1,"65,000 miles.  It's in excellent condition!",Not-a-strategy,Self Assertion-Empowerment
217,1,0,Looks great!  Would you be willing to take $10000 if I come see it?,Hesitance-Hesitance,Self Assertion-Empowerment
218,1,1,Oh my!  10K is way lower than I would think about.  This car is in great working order- it's been well taken care of.  I have to stick with my original offer,Counter Argumentation-Contesting,Self Assertion-Empowerment
219,2,0,"I understand.  How about $11,000 cash -- out the door!!",Hesitance-Hesitance,Self Assertion-Empowerment
220,2,1,I'm sorry.  That,Hesitance-Hesitance,Self Assertion-Empowerment
221,3,0,What is the lowest you'll take?,Not-a-strategy,Self Assertion-Empowerment
222,3,1,The lowest I would consider is $16000.,Self Assertion-Empowerment,Self Assertion-Empowerment
223,4,0,"That's way more than I wanted to pay.  It's almost 10 years old. While it's a great car, I wouldn't pay more than $12,500.",Counter Argumentation-Contesting,Self Assertion-Empowerment
224,4,1,"I can go down to $15000.  But, that is way lower than what I was willing to do originally.",Hesitance-Hesitance,Self Assertion-Empowerment
225,5,0,"How about we settle at $14,000.  You'll have cash in hand and I'll have a new car.",Hesitance-Hesitance,Self Assertion-Empowerment
226,5,1,$14500 and you have a deal.,Self Assertion-Empowerment,Self Assertion-Empowerment
227,6,0,OK.  I'm sure I'll be happy with it.  Deal.,Not-a-strategy,Self Assertion-Empowerment
228,0,0,"Hi, can you tell me more about the condition of the iPhones?",Information Inquiry-Contesting,Self Assertion-Empowerment
229,0,1,"Both are like new.  My parents who are retired used them for about 6-7, with less than 10 hours of talk time.",Not-a-strategy,Self Assertion-Empowerment
230,1,0,"What does it mean they used them ""for about 6-7""?",Information Inquiry-Contesting,Self Assertion-Empowerment
231,1,1,"oops!  sorry, it's late and I'm trying hard to get these phones sold.  I meant to say they used them for about 6-7 months.",Not-a-strategy,Self Assertion-Empowerment
232,2,0,"Ok. Well, I think that those phones probably got a good amount of use in 6-7 months. So, would you be willing to accept a price of $75?",Counter Argumentation-Contesting,Self Assertion-Empowerment
233,2,1,"No, my parents are both retired and basically used them to call me as I'm an only child and their calls were not that often.  I need to get at least 95 for each phone.",Counter Argumentation-Contesting,Self Assertion-Empowerment
234,3,0,"Can you give me free delivery? I'd be willing to do that and pay $95 for each phone, if you can throw in the free delivery. The product is in good shape, after all.",Personal Choice-Empowerment,Self Assertion-Empowerment
235,3,1,I think we can do that since you're local.  190 for both phones and I will deliver.  How's tomorrow afternoon?,Not-a-strategy,Self Assertion-Empowerment
236,4,0,sounds good,Not-a-strategy,Self Assertion-Empowerment
237,4,1,Great!  I hope you enjoy your new phones.,Not-a-strategy,Self Assertion-Empowerment
238,0,0,hello,Not-a-strategy,Self Assertion-Empowerment
239,0,1,"Hello, are you interested in buying this vehicle?",Not-a-strategy,Self Assertion-Empowerment
240,1,0,"yes indeed, I like the color too",Not-a-strategy,Self Assertion-Empowerment
241,1,1,"Great, well, I think you'd enjoy this car, and it's a steal at $12000.",Not-a-strategy,Self Assertion-Empowerment
242,2,0,"yeah thats the problem, I ve been checking my cash and I don't have that much",Self Pity-Empowement,Self Assertion-Empowerment
243,2,1,"Well that's okay, I take credit too :)",Not-a-strategy,Self Assertion-Empowerment
244,3,0,"yeah I have a problem with that too, I already maxed out, so let's try and find a solution, how about 9 large",Hesitance-Hesitance,Self Assertion-Empowerment
245,3,1,"Friend, check out the description of this fine automobile that I posted. It's got a new radiator, fresh tires, I mean, the list goes on!",Counter Argumentation-Contesting,Self Assertion-Empowerment
246,4,0,"but friend it's 8 years old, so what about 9850, i think it's fair and I will take care of the delivery charges",Counter Argumentation-Contesting,Self Assertion-Empowerment
247,4,1,"Okay, I think that is a fair deal.",Not-a-strategy,Self Assertion-Empowerment
248,5,0,ok I guess we could write one more line so we don't get rejected,Not-a-strategy,Self Assertion-Empowerment
249,5,1,I'm not sure what you could possibly be referring to?,Not-a-strategy,Self Assertion-Empowerment
250,6,0,"because sometime the computers could find out it's was done too quickly and might refuse this , and we have to do it again , you will see in futur tasks",Not-a-strategy,Self Assertion-Empowerment
251,0,0,"Hello, I am interested in your Chevy. I see that you are asking $5,000, is the price negotiable?",Not-a-strategy,Self Assertion-Empowerment
252,0,1,I have a little wiggle room.,Not-a-strategy,Self Assertion-Empowerment
253,1,0,Is there any body damage?,Source Derogation-Contesting,Self Assertion-Empowerment
254,1,1,"No, it is in really good shape.",Not-a-strategy,Self Assertion-Empowerment
255,2,0,"I have looked at comps and I am willing to pay $3,000",Counter Argumentation-Contesting,Self Assertion-Empowerment
256,2,1,"I couldn't go that low, I would drop the price to $4,500 for you",Not-a-strategy,Self Assertion-Empowerment
257,3,0,"It just doesn't appear to be worth $4,500. Would you be willing to take $3,500",Hesitance-Hesitance,Self Assertion-Empowerment
258,3,1,"I assure you that this is a nice vehicle and is worth the money. I am needing cash so I would go down to $4,000",Counter Argumentation-Contesting,Self Assertion-Empowerment
259,4,0,"I only have $3,800 but I have it in cash and can be there in a couple hours.",Personal Choice-Empowerment,Self Assertion-Empowerment
260,4,1,"$3,800 if you are here in a couple hours with cash.",Not-a-strategy,Self Assertion-Empowerment
261,0,0,I am interested in your bike. Is there anything wrong with it?,Source Derogation-Contesting,Self Assertion-Empowerment
262,0,1,It does need new handlebar tape and maybe tires.,Not-a-strategy,Self Assertion-Empowerment
263,1,0,"Okay, is the price negotiable?",Not-a-strategy,Self Assertion-Empowerment
264,1,1,"A little, make me an offer.",Hesitance-Hesitance,Self Assertion-Empowerment
265,2,0,"I have looked up what this bike is worth and taken into account the new handlebar tape and tires and I would feel comfortable paying $700, would that work.",Counter Argumentation-Contesting,Self Assertion-Empowerment
266,2,1,"That is a little low, I understand it needs some things. I would drop the priced to $1,000.",Hesitance-Hesitance,Self Assertion-Empowerment
