,Turn,Speaker,Text,True,Pred,Don_true,Don_pred
19,4,0,"Alright , I suppose since it is furnished I can now afford that price.",Not-a-strategy,Not-a-strategy,1,0.34159621596336365
20,4,1,That's great! Thank you!,Not-a-strategy,Not-a-strategy,1,0.3416673243045807
21,0,0,Hey what condition is the alarm clock dock in?,Information Inquiry-Contesting,Source Derogation-Contesting,0,0.4133475720882416
22,0,1,Like new,Not-a-strategy,Not-a-strategy,0,0.3712751269340515
23,1,0,Sounds pretty good. Will it work with any iPhone? Even older ones?,Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.5052827000617981
24,1,1,"Worls with iphone  and ipods, fits iphone 5 or less",Not-a-strategy,Not-a-strategy,0,0.3815978467464447
25,2,0,Does it also work for iPhone 6 and 7?,Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.7945953011512756
26,2,1,"Noe only iphone 5 or less, I can let it go for a deal but only right now at $45",Not-a-strategy,Hesitance-Hesitance,0,0.609319269657135
27,3,0,Okay. Before I decide...what color is it?,Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.8331535458564758
28,3,1,Comes in black,Not-a-strategy,Not-a-strategy,0,0.8386865854263306
29,4,0,Okay. Then we have a deal. 45 and I can google wallet you the money when I pick it up today. Cool?,Not-a-strategy,Personal Choice-Empowerment,0,0.6401442289352417
30,4,1,Yup its a deal,Not-a-strategy,Not-a-strategy,0,0.8272422552108765
31,0,1,Hello! I am selling a night stand from a store called The Crate & Barrel. It is a very nice night stand!,Not-a-strategy,Not-a-strategy,1,0.2691682279109955
32,0,0,hi! i am interested in buying but how good is the condition?,Source Derogation-Contesting,Information Inquiry-Contesting,1,0.326240599155426
33,1,1,It is very good. It is actually a family heirloom passed down by my grandmother and she recently passed away 2 days ago. The nightstand is empty however. Her stuff have been emptied.,Not-a-strategy,Not-a-strategy,1,0.33791351318359375
34,1,0,im sorry to hear to that. for how much do you wanna give it away?,Not-a-strategy,Information Inquiry-Contesting,1,0.34397268295288086
35,2,1,"Well her will listed the value of this item at 200 US dollars, but if you pick it up from her home I am willing to go lower.",Not-a-strategy,Personal Choice-Empowerment,1,0.345341295003891
36,2,0,how lower would you go then?,Not-a-strategy,Hesitance-Hesitance,1,0.4770129323005676
37,3,1,190$ and I can provide lemonade as you move it out.,Not-a-strategy,Personal Choice-Empowerment,1,0.37357068061828613
38,3,0,that would be nice. but how about 180 since im the one picking it up and with its one handle missing?,Counter Argumentation-Contesting,Counter Argumentation-Contesting,1,0.349591463804245
39,4,1,"I can attach it for you, but I am needing the money because I am short for paying my grandma's funeral for $190.",Self Pity-Empowement,Self Pity-Empowement,1,0.3431573510169983
40,4,0,im sorry to hear that. 190 would be good.,Not-a-strategy,Hesitance-Hesitance,1,0.356534868478775
41,5,1,Thats okay she was very old. I think 98,Not-a-strategy,Not-a-strategy,1,0.34584134817123413
42,0,1,Hi!,Not-a-strategy,Not-a-strategy,1,0.29127949476242065
43,0,0,Hi I'm interested in this car,Not-a-strategy,Not-a-strategy,1,0.36364254355430603
44,1,1,Great. It is in awesome shape.,Not-a-strategy,Not-a-strategy,1,0.3503347933292389
45,1,0,It's more then I would like to spend though,Hesitance-Hesitance,Hesitance-Hesitance,1,0.3640678822994232
46,2,1,How much are you wanting to spend?,Not-a-strategy,Not-a-strategy,1,0.7517485022544861
47,2,0,umm I was thinking around 2660$,Hesitance-Hesitance,Hesitance-Hesitance,1,0.46099498867988586
48,3,1,I could do 3200. It has new tires.,Counter Argumentation-Contesting,Counter Argumentation-Contesting,1,0.637009859085083
49,3,0,"well, that's a bit high...",Hesitance-Hesitance,Hesitance-Hesitance,1,0.44792649149894714
50,4,1,I feel based on kelly blue book it is a fair offer. I have put a lot of work in this car to get it in great shape.,Counter Argumentation-Contesting,Not-a-strategy,1,0.3657236695289612
51,4,0,"Are you good at detailing the inside and outside of cars? I'll pay 3200 if you throw in free detailing for the next two years, at least twice a year.",Personal Choice-Empowerment,Personal Choice-Empowerment,1,0.7520574331283569
52,5,1,No. I can't do that. I will get it professionally detailed before meeting you but that is it.,Not-a-strategy,Self Assertion-Empowerment,1,0.4610717296600342
53,5,0,okay then I can only do 2950,Self Assertion-Empowerment,Self Assertion-Empowerment,1,0.7909567952156067
54,6,1,I can do 3000. That is the absolute lowest I can go.,Self Assertion-Empowerment,Self Assertion-Empowerment,1,0.822714626789093
55,6,0,okay deal.,Not-a-strategy,Not-a-strategy,1,0.5256922841072083
56,0,0,"I would like to purchase this item, but please could you give me some details about it?",Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.7250601649284363
57,0,1,"SUre, It is in very good shape, the paint is clean and there is no rust It is a large bike so you have to  be steady while riding it, it is a bit different that riding a single bike.",Not-a-strategy,Not-a-strategy,0,0.4341188073158264
58,1,0,Great thanks. This would be a good addition to my collection. Is it new or used though?,Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.48742228746414185
59,1,1,It is very gently used. Used a few times last summer.,Not-a-strategy,Not-a-strategy,0,0.3764241635799408
60,2,0,Okay so I can probably give around $114 for it. How about that?,Hesitance-Hesitance,Hesitance-Hesitance,0,0.3749319016933441
61,2,1,Well I was asking 150 but could go as low as 120.00,Hesitance-Hesitance,Hesitance-Hesitance,0,0.7968436479568481
62,3,0,Sure $120 but I need a delivery with it. Would that be possible from your front of the deal?,Personal Choice-Empowerment,Personal Choice-Empowerment,0,0.595861554145813
63,3,1,Sure I can deliver it to you. That would be fine.,Not-a-strategy,Not-a-strategy,0,0.6080601215362549
64,4,0,Great then. When can you deliver it to me?,Not-a-strategy,Not-a-strategy,0,0.831991970539093
65,4,1,Saturday is the first day I have off so I could on Saturday.,Not-a-strategy,Not-a-strategy,0,0.8486475944519043
66,5,0,Sounds good to me. Deal then! Thanks,Not-a-strategy,Not-a-strategy,0,0.8383349776268005
67,0,1,hi,Not-a-strategy,Not-a-strategy,1,0.3413059115409851
68,0,0,hello,Not-a-strategy,Not-a-strategy,1,0.42406925559043884
69,1,1,are you interested,Not-a-strategy,Not-a-strategy,1,0.3710058927536011
70,1,0,yes I like the color of the lamp.  How long have you had it?,Information Inquiry-Contesting,Information Inquiry-Contesting,1,0.36960962414741516
71,2,1,not long it's a great lamp,Not-a-strategy,Not-a-strategy,1,0.35218626260757446
72,2,0,Ok.  Who is the designer?,Information Inquiry-Contesting,Information Inquiry-Contesting,1,0.36523550748825073
73,3,1,ruffled lamp  with wooden base,Not-a-strategy,Not-a-strategy,1,0.34866610169410706
74,3,0,Yeah I saw that in your listing.  But you said it's a designer lamp.  Who is the designer?,Source Derogation-Contesting,Information Inquiry-Contesting,1,0.3644197881221771
75,4,1,it's a new designer,Not-a-strategy,Not-a-strategy,1,0.34830886125564575
76,4,0,"Ok, would you be willing to take $50 for it?",Hesitance-Hesitance,Hesitance-Hesitance,1,0.34522974491119385
77,5,1,the lowest i can go is $65 dollars it's to nice to go that low i'm tring to work with you,Self Assertion-Empowerment,Hesitance-Hesitance,1,0.3636242151260376
78,5,0,"Money is a little tight on my end.  And since it's a new designer and not anyone really well known, can we compromise?  $60 and you have a deal!",Source Derogation-Contesting,Counter Argumentation-Contesting,1,0.3460949659347534
79,6,1,deal since i need the money $60 is fine,Not-a-strategy,Hesitance-Hesitance,1,0.3426956832408905
80,6,0,"Ok, great!  Pleasure doing business with you!",Not-a-strategy,Not-a-strategy,1,0.3434373140335083
81,0,0,Hello,Not-a-strategy,Not-a-strategy,1,0.31273168325424194
82,0,1,Hello there.,Not-a-strategy,Not-a-strategy,1,0.5492958426475525
83,1,0,Tell me about the property.,Not-a-strategy,Not-a-strategy,1,0.6069215536117554
84,1,1,It is a very large 1 bedroom 1 bath,Not-a-strategy,Not-a-strategy,1,0.6205812096595764
85,2,0,Is there trash service?,Information Inquiry-Contesting,Information Inquiry-Contesting,1,0.6237922310829163
86,2,1,"No, it is not included but I can throw it in for you if you like.",Not-a-strategy,Not-a-strategy,1,0.4176476001739502
87,3,0,Ok I can offerv1743,Hesitance-Hesitance,Hesitance-Hesitance,1,0.49621090292930603
88,3,1,It is a very nice exclusive area. I am willing to accept 1850,Counter Argumentation-Contesting,Not-a-strategy,1,0.3774431049823761
89,4,0,What about cable and the light bill? Is that included?,Information Inquiry-Contesting,Personal Choice-Empowerment,1,0.7908168435096741
90,4,1,"Both are not. I can throw in free internet, but the light bill is separate.",Not-a-strategy,Personal Choice-Empowerment,1,0.45749589800834656
91,5,0,1790?,Hesitance-Hesitance,Hesitance-Hesitance,1,0.7230637073516846
92,5,1,I really would like to get at least 1850 for it. I can throw in a $50 light credit per month.,Counter Argumentation-Contesting,Personal Choice-Empowerment,1,0.6475205421447754
93,6,0,Ok deal,Not-a-strategy,Not-a-strategy,1,0.8295681476593018
94,6,1,Thanks. I know you will love it.,Not-a-strategy,Not-a-strategy,1,0.7685242295265198
95,7,0,Your welcome,Not-a-strategy,Not-a-strategy,1,0.8004188537597656
96,0,1,Hello,Not-a-strategy,Not-a-strategy,1,0.31896814703941345
97,0,0,Howdy Partner,Not-a-strategy,Not-a-strategy,1,0.4653974175453186
98,1,1,I am selling this nice bathroom sink for 1400,Not-a-strategy,Not-a-strategy,1,0.3736613094806671
99,1,0,That is a very expensive sink...,Source Derogation-Contesting,Counter Argumentation-Contesting,1,0.5755689144134521
100,2,1,"woops actually its an apartment i guess, I only posted 1 picture of a sink",Not-a-strategy,Source Derogation-Contesting,1,0.6239895820617676
101,2,0,I understand. I'm having one of those mornings myself. It is a nice sink though...,Not-a-strategy,Not-a-strategy,1,0.4072212278842926
102,3,1,"yes, it is included with this fabulous apartment. It has its own private bath, a ""fresh new look"", and you only have to pay for the garbage man!!!",Not-a-strategy,Not-a-strategy,1,0.35601726174354553
103,3,0,"That all sounds great. I've been given some advice, I'm not sure if it is good advice though cause it sounds kind of crazy.. I'm told I should only pay 840...",Hesitance-Hesitance,Self Pity-Empowement,1,0.6864804029464722
104,4,1,"hmm, I see. Well this apartment is in a nice area, very near to Emeryville Bay Street. West MAcArthur Bart is only 8-10 blocks away. I am asking for 1400 but I can negotiate the price.",Counter Argumentation-Contesting,Counter Argumentation-Contesting,1,0.42229321599006653
105,4,0,Ok I think the advice I have been given can't be good because real estate prices are pretty fixed in my experience... what do you think about 1200,Hesitance-Hesitance,Counter Argumentation-Contesting,1,0.5874032974243164
106,5,1,1200 sounds great! I will put that price in the final agreement box so we can close this deal.,Not-a-strategy,Hesitance-Hesitance,1,0.6267620921134949
107,5,0,"Great, thanks",Not-a-strategy,Not-a-strategy,1,0.7811306118965149
108,6,1,congratulations on your new apartment!,Not-a-strategy,Not-a-strategy,1,0.7700918316841125
109,0,1,are you interested in the bike,Not-a-strategy,Not-a-strategy,0,0.5305854082107544
110,0,0,may be,Not-a-strategy,Not-a-strategy,0,0.6577041745185852
111,1,1,okay all the specs are in the discpition ill willing to negotiate a little,Not-a-strategy,Not-a-strategy,0,0.4175175726413727
112,1,0,perhaps I can pay you 3 dollars,Hesitance-Hesitance,Hesitance-Hesitance,0,0.3640654981136322
113,2,1,are you serious are joking i'll give you the bike for $155,Hesitance-Hesitance,Personal Choice-Empowerment,0,0.4555354118347168
114,2,0,I will pay you 100 dollars,Hesitance-Hesitance,Not-a-strategy,0,0.5637423396110535
115,3,1,perhaps you might not make this deal $155 is a Great price,Counter Argumentation-Contesting,Hesitance-Hesitance,0,0.39724189043045044
116,3,0,How about 133?,Hesitance-Hesitance,Hesitance-Hesitance,0,0.6043794751167297
117,4,1,i'm firm on $150 if you can't afford i'll have to pass,Self Assertion-Empowerment,Self Assertion-Empowerment,0,0.6741189360618591
118,4,0,I will pay you 133 and that is at.,Self Assertion-Empowerment,Hesitance-Hesitance,0,0.8359636664390564
119,5,1,how you gonna price my bike $150 are you don't have a deal guy,Self Assertion-Empowerment,Not-a-strategy,0,0.7557526230812073
120,0,0,Hi there can you tell me a little more about this car as the add has little to no information posted but i am very interested.,Source Derogation-Contesting,Not-a-strategy,0,0.2902568280696869
121,0,1,"Hello are you interested in this car? Yes, it is a garage kept 2004 BMW 325 convertible.  It has 100000 miles and a clean title.",Not-a-strategy,Not-a-strategy,0,0.3298625648021698
122,1,0,has it ever been in a accident?,Source Derogation-Contesting,Source Derogation-Contesting,0,0.3625590205192566
123,1,1,No not at all.  I have kept this car like it was my own baby.,Not-a-strategy,Not-a-strategy,0,0.3464239537715912
124,2,0,how about smoking in the car? does it smell like an ashtray?,Source Derogation-Contesting,Source Derogation-Contesting,0,0.36639514565467834
125,2,1,"No, it never been smoked it",Not-a-strategy,Not-a-strategy,0,0.37104371190071106
126,3,0,Would you take $3600 for it?,Hesitance-Hesitance,Hesitance-Hesitance,0,0.35574084520339966
127,3,1,I think that is to low of an offer.  I just put $1200 dollar new tires on it and transformed the seats into leather heated seats for another $1000.  Would you accept 5500?,Not-a-strategy,Counter Argumentation-Contesting,0,0.3443011939525604
128,4,0,that's a little high for me how about $4000,Hesitance-Hesitance,Hesitance-Hesitance,0,0.3503742814064026
129,4,1,deal,Not-a-strategy,Not-a-strategy,0,0.7222606539726257
130,0,1,I'd like to sell this item for 350,Not-a-strategy,Hesitance-Hesitance,1,0.4735791087150574
131,0,0,hi,Not-a-strategy,Not-a-strategy,1,0.49100440740585327
132,1,1,Howdy,Not-a-strategy,Not-a-strategy,1,0.41249364614486694
133,1,0,would you take $200,Hesitance-Hesitance,Hesitance-Hesitance,1,0.3675061762332916
134,2,1,Hmmm that's too low for me sadly. Can we meet somewhere in the middle?,Hesitance-Hesitance,Hesitance-Hesitance,1,0.6400851607322693
135,2,0,$230.00,Hesitance-Hesitance,Hesitance-Hesitance,1,0.7002131342887878
136,3,1,"Although I'm selling myself short, I can cut you a deal for 265",Self Pity-Empowement,Hesitance-Hesitance,1,0.712680995464325
137,3,0,You have it listed for 250?,Source Derogation-Contesting,Hesitance-Hesitance,1,0.6571612358093262
138,4,1,"Unless you're willing to come pick it up and have cash, I'll do 260",Personal Choice-Empowerment,Personal Choice-Empowerment,1,0.45325952768325806
139,4,0,Can you throw in anything else with it? like wiring,Personal Choice-Empowerment,Personal Choice-Empowerment,1,0.552239179611206
140,5,1,"hmmm I can toss some allen wrenches your way, and I can tack on a 3 month warranty",Not-a-strategy,Personal Choice-Empowerment,1,0.6814550161361694
141,5,0,That works for me,Not-a-strategy,Not-a-strategy,1,0.8420126438140869
142,6,1,So $260 final deal?,Self Assertion-Empowerment,Not-a-strategy,1,0.855847954750061
143,6,0,yes 260,Not-a-strategy,Not-a-strategy,1,0.8638516664505005
144,0,1,hello,Not-a-strategy,Not-a-strategy,0,0.31852009892463684
145,0,0,"Hi, I'm interested in renting your apartment.",Not-a-strategy,Not-a-strategy,0,0.3687700927257538
146,1,1,"Great!  I've had a lot of people looking at it.  Utilities are paid by the renter, it has new floors and the kitchen has a stainless steel stove, a microwave and refrigerator.",Not-a-strategy,Not-a-strategy,0,0.3478843867778778
147,1,0,"Sounds really nice, is there off street parking available?",Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.34633198380470276
148,2,1,"No, it has on street parking but the area is quiet and it's safe.",Not-a-strategy,Not-a-strategy,0,0.34482333064079285
149,2,0,"Oh, ok. I just started a new job so money is a little tight. Could you come down on the rent a little? I could mow the grass if you could discount the rent.",Personal Choice-Empowerment,Self Pity-Empowement,0,0.3418646454811096
150,3,1,That's a good offer.  Do you have a mower?  With that being said I can lower it by 100. making the rent 1695,Personal Choice-Empowerment,Not-a-strategy,0,0.3449704647064209
151,3,0,Yes I have a mower and of course would supply the gas. I could also do some maintenance. Could you come down to $1651 if I do repairs for you?,Personal Choice-Empowerment,Personal Choice-Empowerment,0,0.3449546992778778
152,4,1,Oh that sounds lovely!  I think we can do that.,Not-a-strategy,Not-a-strategy,0,0.35200148820877075
153,4,0,"Awesome, I really appreciate that!",Not-a-strategy,Not-a-strategy,0,0.369040310382843
154,0,1,Hello,Not-a-strategy,Not-a-strategy,0,0.3112514317035675
155,0,0,"Hello, this sounds like a nice sofa!",Not-a-strategy,Not-a-strategy,0,0.4615875482559204
156,1,1,It is! Are you able to pick up?,Personal Choice-Empowerment,Not-a-strategy,0,0.37742605805397034
157,1,0,"Couple of questions, is this from a smoke free home?  Were there any pets?",Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.7628860473632812
158,2,1,"Yes it is, and there is one dog but very clean, he does not go on the couch.",Not-a-strategy,Not-a-strategy,0,0.4425661563873291
159,2,0,What is the least you will take for it?,Not-a-strategy,Hesitance-Hesitance,0,0.7279725670814514
160,3,1,375,Hesitance-Hesitance,Hesitance-Hesitance,0,0.820408046245575
161,3,0,That sounds fair.  Can I pick it up today?,Information Inquiry-Contesting,Not-a-strategy,0,0.5950675010681152
162,4,1,Sure!,Not-a-strategy,Not-a-strategy,0,0.781548023223877
163,4,0,"Ok, see you around 5pm today.  It that good?",Not-a-strategy,Not-a-strategy,0,0.8119695782661438
164,0,1,Hi! I have this greaty system here for sale. Perfect for any room. I will deliver to your doorstep for $175,Not-a-strategy,Personal Choice-Empowerment,1,0.6905720233917236
165,0,0,Hi! Is it in good condition?,Information Inquiry-Contesting,Source Derogation-Contesting,1,0.4427565932273865
166,1,1,"excellent condition, never taken out of the box!",Not-a-strategy,Not-a-strategy,1,0.38466745615005493
167,1,0,great! what color is that?,Information Inquiry-Contesting,Information Inquiry-Contesting,1,0.7662869095802307
168,2,1,its a dark dark brown.,Not-a-strategy,Not-a-strategy,1,0.4787144958972931
169,2,0,great! It will match my other furniture. Can you go lower? like $130?,Hesitance-Hesitance,Hesitance-Hesitance,1,0.3913027048110962
170,3,1,Lowest I can go is 160,Self Assertion-Empowerment,Self Assertion-Empowerment,1,0.767473042011261
171,3,0,awww.. not even 155?,Hesitance-Hesitance,Hesitance-Hesitance,1,0.7270143032073975
172,4,1,sure.,Not-a-strategy,Not-a-strategy,1,0.48034241795539856
173,4,0,Ok great. Thanks,Not-a-strategy,Not-a-strategy,1,0.41014745831489563
174,0,1,"Hey so I have a great phone for sale, it's in excellent condition.",Not-a-strategy,Not-a-strategy,0,0.27342450618743896
175,0,0,"Hi, I am interested in a phone, are they brand new or used?",Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.6371591687202454
176,1,1,"It's brand new, I didn't need them. They're $650 each, this is a steal especially since it's $150 off.",Not-a-strategy,Not-a-strategy,0,0.4105570316314697
177,1,0,I am a student and would want to work on the price.. is that an option?,Self Pity-Empowement,Hesitance-Hesitance,0,0.39586809277534485
178,2,1,"I don't know about that. Do you have a family member or friend who might want one, the price goes down in multiples.",Personal Choice-Empowerment,Not-a-strategy,0,0.35356205701828003
179,2,0,I could maybe get my sister in on a deal but it would have to be a great deal.,Not-a-strategy,Hesitance-Hesitance,0,0.34393686056137085
180,3,1,They would get knocked down to $600 each. I could also include two cases and glass screen protectors.,Personal Choice-Empowerment,Personal Choice-Empowerment,0,0.34188947081565857
181,3,0,"Wow, still too high, i was thinking, 380 each.",Hesitance-Hesitance,Hesitance-Hesitance,0,0.34628090262413025
182,4,1,"I can't go that low, the lowest I could go is $575. That's only if you buy 2.",Self Assertion-Empowerment,Self Assertion-Empowerment,0,0.6538287401199341
183,4,0,"I just think this is out of my reach, price wise. I could do 415 tops each.",Self Pity-Empowement,Self Pity-Empowement,0,0.4145969748497009
184,5,1,"No, you're going to have to come up to $525 flat and buy 4.",Self Assertion-Empowerment,Hesitance-Hesitance,0,0.5246579647064209
185,5,0,"ha, we are so far from each other. looks like a stalemate. good luck!",Self Assertion-Empowerment,Not-a-strategy,0,0.38588061928749084
186,0,1,are you looking for a apartment,Not-a-strategy,Not-a-strategy,0,0.28157493472099304
187,0,0,Yes I am. This sounds perfect but I am a little confused as to the price. Is this a rental quote?,Not-a-strategy,Information Inquiry-Contesting,0,0.3278808295726776
188,1,1,i have a nice 4bedroom spacious apartment,Not-a-strategy,Not-a-strategy,0,0.3425489664077759
189,1,0,I am moving to Berkeley from the midwest. Where I live this would rent for about $3000/month. You are asking $6495/month?,Source Derogation-Contesting,Hesitance-Hesitance,0,0.34369438886642456
190,2,1,yes cause it's up to date with the latest in technmeras and moreology apple tv led smart tv amazon echo Security ca,Counter Argumentation-Contesting,Not-a-strategy,0,0.3459476828575134
191,2,0,"Sounds nice. I have budgeted the assumption of rental responsibility at $5800/month. Could you come down to that? I have excellent credit and references, and would take extremely good care of this apartment.",Counter Argumentation-Contesting,Personal Choice-Empowerment,0,0.34222087264060974
192,3,1,i can get you in for $5900 a month deal,Hesitance-Hesitance,Hesitance-Hesitance,0,0.38288041949272156
193,3,0,Thank you! I can handle $5900. It's a deal?,Not-a-strategy,Hesitance-Hesitance,0,0.5426325798034668
194,4,1,ok mee t at 10am tomorrow morning i'll show you around,Not-a-strategy,Not-a-strategy,0,0.39252328872680664
195,4,0,Thanks.See you then.,Not-a-strategy,Not-a-strategy,0,0.3595747947692871
196,0,1,Hello. Are you interested in the bike?,Not-a-strategy,Not-a-strategy,1,0.276187539100647
197,0,0,"Hello, I see you are selling a bike?",Not-a-strategy,Not-a-strategy,1,0.7675644755363464
198,1,1,Yes I am.,Not-a-strategy,Not-a-strategy,1,0.538569986820221
199,1,0,How long have you had it?,Information Inquiry-Contesting,Information Inquiry-Contesting,1,0.8110721707344055
200,2,1,"I had it for about a year but hardly used it, because my daughter outgrew very quickly, and it was for her actually.",Not-a-strategy,Not-a-strategy,1,0.4544755518436432
201,2,0,Was it ever taken to the Mountains?,Information Inquiry-Contesting,Information Inquiry-Contesting,1,0.7978479266166687
202,3,1,No only used it on the streets,Not-a-strategy,Not-a-strategy,1,0.7702306509017944
203,3,0,That's a plus.  Did your daughter ever have an accident or fall off of the bike?,Information Inquiry-Contesting,Information Inquiry-Contesting,1,0.8440468907356262
204,4,1,No thankfully she did not!,Not-a-strategy,Not-a-strategy,1,0.46293023228645325
205,4,0,"Excellent! If you don't mind me asking, how much did you originally pay for it?",Information Inquiry-Contesting,Information Inquiry-Contesting,1,0.36889055371284485
206,5,1,I had originally got it for $200 but I am now selling it for half the price,Not-a-strategy,Not-a-strategy,1,0.35336458683013916
207,5,0,"I see.  I like the bike. It seems like a good deal, but I am very hesitant to pay $100 for it when it is a year old.  Is there any wiggle room on that price?",Counter Argumentation-Contesting,Counter Argumentation-Contesting,1,0.7810484766960144
208,6,1,I could bring it down to $90 that's about it because its not very old.,Counter Argumentation-Contesting,Counter Argumentation-Contesting,1,0.7672440409660339
209,6,0,"$90 pretty good, but I was thinking more along the lines of $80.  Maybe we can meet in the middle at $85?",Hesitance-Hesitance,Hesitance-Hesitance,1,0.48939248919487
210,7,1,I can do $90 and that's about it,Self Assertion-Empowerment,Self Assertion-Empowerment,1,0.8034210205078125
211,7,0,You drive a hard bargain.  Are you getting a lot of offers for it?,Not-a-strategy,Hesitance-Hesitance,1,0.46990934014320374
212,8,1,Yes I am. But I am willing to give it to you for $90. Are you interested?,Not-a-strategy,Hesitance-Hesitance,1,0.39514294266700745
213,8,0,"Since you did come down a bit, I guess I could tighten my belt at $90.",Not-a-strategy,Hesitance-Hesitance,1,0.6909177303314209
214,9,1,Thank you!,Not-a-strategy,Not-a-strategy,1,0.8177926540374756
215,0,0,Hello!  Can you tell me the mileage on this truck?,Information Inquiry-Contesting,Information Inquiry-Contesting,1,0.2689691483974457
216,0,1,"65,000 miles.  It's in excellent condition!",Not-a-strategy,Not-a-strategy,1,0.33061930537223816
217,1,0,Looks great!  Would you be willing to take $10000 if I come see it?,Hesitance-Hesitance,Hesitance-Hesitance,1,0.7660551071166992
218,1,1,Oh my!  10K is way lower than I would think about.  This car is in great working order- it's been well taken care of.  I have to stick with my original offer,Counter Argumentation-Contesting,Counter Argumentation-Contesting,1,0.8358249068260193
219,2,0,"I understand.  How about $11,000 cash -- out the door!!",Hesitance-Hesitance,Not-a-strategy,1,0.4854147732257843
220,2,1,I'm sorry.  That,Hesitance-Hesitance,Not-a-strategy,1,0.374152272939682
221,3,0,What is the lowest you'll take?,Not-a-strategy,Not-a-strategy,1,0.34848466515541077
222,3,1,The lowest I would consider is $16000.,Self Assertion-Empowerment,Hesitance-Hesitance,1,0.4209897518157959
223,4,0,"That's way more than I wanted to pay.  It's almost 10 years old. While it's a great car, I wouldn't pay more than $12,500.",Counter Argumentation-Contesting,Counter Argumentation-Contesting,1,0.43875735998153687
224,4,1,"I can go down to $15000.  But, that is way lower than what I was willing to do originally.",Hesitance-Hesitance,Self Assertion-Empowerment,1,0.4431372582912445
225,5,0,"How about we settle at $14,000.  You'll have cash in hand and I'll have a new car.",Hesitance-Hesitance,Personal Choice-Empowerment,1,0.44421836733818054
226,5,1,$14500 and you have a deal.,Self Assertion-Empowerment,Self Assertion-Empowerment,1,0.7857958674430847
227,6,0,OK.  I'm sure I'll be happy with it.  Deal.,Not-a-strategy,Not-a-strategy,1,0.8324049711227417
228,0,0,"Hi, can you tell me more about the condition of the iPhones?",Information Inquiry-Contesting,Information Inquiry-Contesting,1,0.2692093551158905
229,0,1,"Both are like new.  My parents who are retired used them for about 6-7, with less than 10 hours of talk time.",Not-a-strategy,Not-a-strategy,1,0.3253463804721832
