Index,User,Text,Face acts
C_e2781ecd69264b00a4cc25ee96d271c5,0,What would be your lowest point?,
C_6b1dae69c75941d39d021a4c38d1e3df,0,good day!,
C_6b1dae69c75941d39d021a4c38d1e3df,1,this is a rare bike,
C_6b1dae69c75941d39d021a4c38d1e3df,0,it looks like a great bike in wonderful condition,
C_6b1dae69c75941d39d021a4c38d1e3df,1,"it has served me good, i hope you take care of it",
C_6b1dae69c75941d39d021a4c38d1e3df,0,"Looks like this was made for me, I like the style. how doe $510 for it sound? I would like to pay lower, but sense it's a classic and rare, I thought this would be a fair price.",
C_6b1dae69c75941d39d021a4c38d1e3df,1,yes i priced it fair,
C_6b1dae69c75941d39d021a4c38d1e3df,0,hmmm any chance you can go to $550?,
C_6b1dae69c75941d39d021a4c38d1e3df,1,"i can do that if you pick up today, its a today only special",
C_6b1dae69c75941d39d021a4c38d1e3df,0,gladly!,
C_6b1dae69c75941d39d021a4c38d1e3df,1,deal,
C_4db427e052ea4ae5adc922a65928c578,1,hi,
C_4db427e052ea4ae5adc922a65928c578,0,Hello,
C_4db427e052ea4ae5adc922a65928c578,1,do you care to make an offer?,
C_4db427e052ea4ae5adc922a65928c578,0,"The place sounds nice, but may be a little more than I can afford",
C_4db427e052ea4ae5adc922a65928c578,1,well how much can you soend?,
C_4db427e052ea4ae5adc922a65928c578,0,I was looking for something in the 1500-1600 range,
C_4db427e052ea4ae5adc922a65928c578,1,"That is really unreasonable considering all the immenities and other going rates, you would need to come up to at least 3000",
C_4db427e052ea4ae5adc922a65928c578,0,"I have seen some 2 bedrooms for that price, which I could split the cost with a roommate, so even with amenities, this may be out of my range",
C_4db427e052ea4ae5adc922a65928c578,1,it may be then... the absolute lowest i will go is 2700. that is my final offer.,
C_4db427e052ea4ae5adc922a65928c578,0,"Ok, I think the most I could spend on this is 2000 - we are a ways apart",
C_4db427e052ea4ae5adc922a65928c578,1,ya that is far too low like i said 2700,
C_4db427e052ea4ae5adc922a65928c578,0,"Ok, thanks for your consideration. I will have to keep looking for now.",
C_4db427e052ea4ae5adc922a65928c578,1,good luck,
C_7361593452604767a36a141b8b7adbcd,1,"Hello, how are you today",
C_7361593452604767a36a141b8b7adbcd,0,"Hi, very well thank you! So, is the DVD player in a good condition?",
C_7361593452604767a36a141b8b7adbcd,1,It is in great condition. I have barely taken it out of the box.,
C_7361593452604767a36a141b8b7adbcd,0,How much can you give it for?,
C_7361593452604767a36a141b8b7adbcd,1,The price is $55,
C_7361593452604767a36a141b8b7adbcd,0,Yeah but its too much for me,
C_7361593452604767a36a141b8b7adbcd,1,I understand that would normally be a lot for a used DVD player but this item has only been used for one week.,
C_7361593452604767a36a141b8b7adbcd,0,"Yeah, but there are a lot of different options in the market. I am a student and can only afford what my budget allows me to do so. I can pay $41. Will you accept it?",
C_7361593452604767a36a141b8b7adbcd,1,"I understand a student's budget, as I have no to long ago graduated myself. I just am already letting it go real cheap. I paid $130 for the product. The only reason I am parting with it is that It only streams the big streaming channels like Netflix, Hulu, Vudu and Youtube and I bought a DVD player/Android Box combo that will allow me to stream those plus add my own channels. I can't possibly sell it for $41.",
C_7361593452604767a36a141b8b7adbcd,0,Okay I can only afford $48 that's the last I can pay,
C_7361593452604767a36a141b8b7adbcd,1,"Make it $50 and we have a deal. I know it is a stretch to your budget but trust me with everything this player does, you will save more than $2 on entertainment",
C_b046547966ae4fb5a83bf75d4fcf3999,0,Have the headphones been used?,
C_b046547966ae4fb5a83bf75d4fcf3999,1,"No, they are new and very nice.",
C_b046547966ae4fb5a83bf75d4fcf3999,0,Can I use them with my gaming console?,
C_b046547966ae4fb5a83bf75d4fcf3999,1,"Yes, you can.",
C_b046547966ae4fb5a83bf75d4fcf3999,0,Any of them?,
C_b046547966ae4fb5a83bf75d4fcf3999,1,Yes.,
C_b046547966ae4fb5a83bf75d4fcf3999,0,Do you have one in a different color?,
C_b046547966ae4fb5a83bf75d4fcf3999,1,"Yes, what color are you looking for?",
C_b046547966ae4fb5a83bf75d4fcf3999,0,Blue,
C_b046547966ae4fb5a83bf75d4fcf3999,1,I have that color.,
C_b046547966ae4fb5a83bf75d4fcf3999,0,Which color is this one? 125 a bit pricey,
C_b046547966ae4fb5a83bf75d4fcf3999,1,This one is white.,
C_b046547966ae4fb5a83bf75d4fcf3999,0,"I guess it's a deal, lets see what happens if I accept",
C_405fcb5c0e01489cb8a7b3592e341ffa,1,Hello.,
C_405fcb5c0e01489cb8a7b3592e341ffa,0,"Hello. I saw your listing and I am interested in your car. However, I have a few questions.",
C_405fcb5c0e01489cb8a7b3592e341ffa,1,"Sure, go ahead.",
C_405fcb5c0e01489cb8a7b3592e341ffa,0,Has it been in any major accidents?,
C_405fcb5c0e01489cb8a7b3592e341ffa,1,"No, I`ve kept it in very good condition.",
C_405fcb5c0e01489cb8a7b3592e341ffa,0,"All of the electronics are in working order, correct?",
C_405fcb5c0e01489cb8a7b3592e341ffa,1,"Yes, everything has been checked out recently.",
C_405fcb5c0e01489cb8a7b3592e341ffa,0,"Great! Would you take $10,000? 120k miles is kinda a lot.",
C_405fcb5c0e01489cb8a7b3592e341ffa,1,I`m open to negotiate but 10k is a bit low. We could meet in the middle and say 13 000? I`ll include the extra speakers I recently purchased.,
C_405fcb5c0e01489cb8a7b3592e341ffa,0,"13,000 is fair, however I can only afford paying 12,500",
C_405fcb5c0e01489cb8a7b3592e341ffa,1,"Alright, I think that`s reasonable. We can agree on 12,500 then.",
C_405fcb5c0e01489cb8a7b3592e341ffa,0,Great!,
C_3f66419e9b4c43ff9fdafb052f0e2848,0,"I'm interested in this item, but I had some questions",
C_3f66419e9b4c43ff9fdafb052f0e2848,1,"Geat, ask away.",
C_3f66419e9b4c43ff9fdafb052f0e2848,0,Do I have to remove it myself?,
C_3f66419e9b4c43ff9fdafb052f0e2848,1,"I am renting out the appartment, you ""Don't Remove Anything""",
C_3f66419e9b4c43ff9fdafb052f0e2848,0,Nice. Is it fully furnished?,
C_3f66419e9b4c43ff9fdafb052f0e2848,1,"No, you will need your own ""basic"" furnishing",
C_3f66419e9b4c43ff9fdafb052f0e2848,0,"How much is the security deposit, is there one?",
C_3f66419e9b4c43ff9fdafb052f0e2848,1,Just first and last month rent,
C_3f66419e9b4c43ff9fdafb052f0e2848,0,"It's a bit pricy, I'm not sure if I can afford it...",
C_3f66419e9b4c43ff9fdafb052f0e2848,1,"I'm only asking $140, that is really cheap for the area",
C_3f66419e9b4c43ff9fdafb052f0e2848,0,I'd totally take 140!!!   but how about 1300 instead?,
C_3f66419e9b4c43ff9fdafb052f0e2848,1,"Oops, I ment $1400, how about we meet in the middle at $1350?",
C_3f66419e9b4c43ff9fdafb052f0e2848,0,"1325, and I'll accept",
C_3f66419e9b4c43ff9fdafb052f0e2848,1,How about $1337.50,
C_a98157f73aa441a584a7986ed4ca834e,0,Does this car have automatic windshield wipers like every car ever invented?,
C_a98157f73aa441a584a7986ed4ca834e,1,I would assume so. It's a 2013 Mercedes.,
C_a98157f73aa441a584a7986ed4ca834e,0,You assume so? isn't it yours? Is the title in your name?,
C_a98157f73aa441a584a7986ed4ca834e,1,Yes I have a clear title and a clear VIN.,
C_a98157f73aa441a584a7986ed4ca834e,0,"Alright. I live about 200 miles away, if I were to buy it would you deliver to me?",
C_a98157f73aa441a584a7986ed4ca834e,1,And if it doesn't I could throw some in for you ;),
C_a98157f73aa441a584a7986ed4ca834e,0,"The price is pretty high, very high, can you throw out a more reasonable number?",
C_a98157f73aa441a584a7986ed4ca834e,1,Make me an offer.,
C_a98157f73aa441a584a7986ed4ca834e,0,"My brother works for mercedes, so I might get one through him",
C_a98157f73aa441a584a7986ed4ca834e,1,"OK, then go through him.",
C_a98157f73aa441a584a7986ed4ca834e,0,ok..,
C_ce5ae3acf9934d278fa6fd626a5fbebf,0,I'm very interested in renting this location.,
C_ce5ae3acf9934d278fa6fd626a5fbebf,1,"It is a great location, and the unit is spacious and beautiful! 4 Bedroom, 2 bath",
C_ce5ae3acf9934d278fa6fd626a5fbebf,0,"Sounds nice, my wife has one on the way. How are the schools there? It's a bit too far from work...",
C_ce5ae3acf9934d278fa6fd626a5fbebf,1,There is easy access to FWY 880 and Dumbarton Bridge -,
C_ce5ae3acf9934d278fa6fd626a5fbebf,0,I heard a terrorist attack happened a few blocks away from there.,
C_ce5ae3acf9934d278fa6fd626a5fbebf,1,"This is a quiet community normally. And yes, there was an incident recently. However, our mayor has encouraged gun ownership by legal residents, and has promised not to prosecute any citizens who take out bad guys as needed, so we feel this is a great place to live.",
C_ce5ae3acf9934d278fa6fd626a5fbebf,0,"Personally, I'd like to live near work, but the wife you know... I got a place lined up for 2,000 a month, so there's a very wide gap here between what you are asking.",
C_ce5ae3acf9934d278fa6fd626a5fbebf,1,Do you believe in the right to self-defence? This is a great perk to living in the community. I can work with you on price some.,
C_ce5ae3acf9934d278fa6fd626a5fbebf,0,"Sounds really great, but with the extra commute time, I think we may be too far apart. But... need to keep the wife happy. How about $2200?",
C_ce5ae3acf9934d278fa6fd626a5fbebf,1,"If you promise to own, and learn how to shoot, if necessary, at least one handgun and one semi-auto rifle, I will take 2200.",
C_ce5ae3acf9934d278fa6fd626a5fbebf,0,Great! Make that offer :),
C_42693ef870d4469083c2efcc5400d34f,1,"I have no idea why I didn't throw this away instead of selling it so, lets start there.",
C_42693ef870d4469083c2efcc5400d34f,0,Hello. This looks like a good display. What can it do?,
C_42693ef870d4469083c2efcc5400d34f,1,It can hold books,
C_42693ef870d4469083c2efcc5400d34f,0,Is it large enough and spacious?,
C_42693ef870d4469083c2efcc5400d34f,1,"It's shiny and has LED lights, if that's a plus",
C_42693ef870d4469083c2efcc5400d34f,0,cool. I see the price is $49 but its too pricey for me.,
C_42693ef870d4469083c2efcc5400d34f,1,"For me too, it would cost me $50 to have someone come take it and throw it away",
C_42693ef870d4469083c2efcc5400d34f,0,well I can only pay $45 because that's what I can afford honestly.,
C_42693ef870d4469083c2efcc5400d34f,1,That's fair,
C_42693ef870d4469083c2efcc5400d34f,0,great so we're good with the price?,
C_42693ef870d4469083c2efcc5400d34f,1,Yes. I'll accept that.,
C_42693ef870d4469083c2efcc5400d34f,0,Thanks!,
C_88771d41302946c28a70671aa804cc75,0,"I am interested in your cubicles, do you know who the manufacturer is?",
C_88771d41302946c28a70671aa804cc75,1,"Hello, are you interested in the cubicles I have for sale?",
C_88771d41302946c28a70671aa804cc75,0,"I am interested in your cubicles, do you know who the manufacturer is?",
C_88771d41302946c28a70671aa804cc75,1,"No I am not sure exactly, but I know they are very well built .",
C_88771d41302946c28a70671aa804cc75,0,I've seen them sell around $50 individually would you be willing to take $200 for the set?,
C_88771d41302946c28a70671aa804cc75,1,That is way too low for me to go. These are very sturdy and well made . originally cost far more than I am asking. I am willing to go to 380 on the price drop ..,
C_88771d41302946c28a70671aa804cc75,0,That is pretty similar to the cost of new would you be willing to take $225?,
C_88771d41302946c28a70671aa804cc75,1,"I think you forget that those cheaper new ones are not the same quality here, also you would be getting the chairs and cabinets as well.",
C_88771d41302946c28a70671aa804cc75,0,I don't want the chairs and cabinets I just want to cubicles.,
C_88771d41302946c28a70671aa804cc75,1,"well I am willing to come down , but only to 360 as I can get a better offer for everything as a set.",
C_88771d41302946c28a70671aa804cc75,0,"I really do need the cubicles but I already have the chairs and cabinets, so you could probably sell them and get the rest of your money how about I offer $235?",
C_88771d41302946c28a70671aa804cc75,1,"No I am sorry, I know I could much better with what I have to offer. either 360 or nothing..",
C_1f531424e5ed47fc9f3b64f69eb21460,0,Hello. I saw your ad. I really would like to buy it for my kid. Is it a reliable equipment,
C_1f531424e5ed47fc9f3b64f69eb21460,1,It is in great condition.  I would be willing to deliver it to you!,
C_1f531424e5ed47fc9f3b64f69eb21460,0,Great and do you have it in different colors?,
C_1f531424e5ed47fc9f3b64f69eb21460,1,"I only have the blue one, but it is in like new condition.",
C_1f531424e5ed47fc9f3b64f69eb21460,0,"Okay, I can still use that, but now the price is an issue for me. What can we do about that?",
C_1f531424e5ed47fc9f3b64f69eb21460,1,"well, I will throw in free delivery and a 3 month warranty for the $100.",
C_1f531424e5ed47fc9f3b64f69eb21460,0,I can't afford $100 because I am not working full time. I just have a certain budget. I can only pay $76 for it,
C_1f531424e5ed47fc9f3b64f69eb21460,1,"That is a really big difference!  I will also throw in a helmet and bring the price down to $95.  So, you will get the bike, the helmet, delivery, and a 3 month warranty.  I feel that this is more than fair.  Wouldn't you agree?",
C_1f531424e5ed47fc9f3b64f69eb21460,0,I would appreciate if you waive the other options as I just want the bike for my kid. Can we work $80 for it?,
C_1f531424e5ed47fc9f3b64f69eb21460,1,Can we split the difference and agree on 87.50?,
C_1f531424e5ed47fc9f3b64f69eb21460,0,okay I think I can do that by taking in more hours at work at least my kid will be happy :),
C_1f531424e5ed47fc9f3b64f69eb21460,1,"Agreed, thank you!",
C_ffdbd54cb66143189eeb41d2b4947aae,0,HJi how old is the bike?,
C_ffdbd54cb66143189eeb41d2b4947aae,1,"Hi there, are you interested in the bike?",
C_ffdbd54cb66143189eeb41d2b4947aae,0,yes where did you buy it from orginally?,
C_ffdbd54cb66143189eeb41d2b4947aae,1,It is just over a year. I bought it from the schwinn factory directly.,
C_ffdbd54cb66143189eeb41d2b4947aae,0,did you have to make any repair? are all the parts orginigal?,
C_ffdbd54cb66143189eeb41d2b4947aae,1,"I have newly installed rim tapes, inner tubes, derailleur cable.  all new parts. it is in good condition if that is what you are worried about.",
C_ffdbd54cb66143189eeb41d2b4947aae,0,who will deliever the bike?,
C_ffdbd54cb66143189eeb41d2b4947aae,1,"I think we can arrange that, i will take care of either delivering it or the shipping. I am asking 240$ witht he shipping included.",
C_ffdbd54cb66143189eeb41d2b4947aae,0,can you do $220?,
C_ffdbd54cb66143189eeb41d2b4947aae,1,That seems fair. Deal.,
C_d19a8d90e7a1481891ee81a4e4e08372,0,Hello. I am a verizon customer and would really like to purchase the IPhone. is it brand new?,
C_d19a8d90e7a1481891ee81a4e4e08372,1,"It's only a few months old. I didn't like it and went with a Samsung, I need to get $350 for it.",
C_d19a8d90e7a1481891ee81a4e4e08372,0,Wow the ad says its for $300?,
C_d19a8d90e7a1481891ee81a4e4e08372,1,"Your right, I am selling another on too, this one is $300",
C_d19a8d90e7a1481891ee81a4e4e08372,0,Okay. How many GB is this?,
C_d19a8d90e7a1481891ee81a4e4e08372,1,I got the extended memory so it has a whopping 64 GB,
C_d19a8d90e7a1481891ee81a4e4e08372,0,Good! But $300 is too pricey for me. I am willing to pay $170,
C_d19a8d90e7a1481891ee81a4e4e08372,1,"No way, I paid over $700 for it back in March",
C_d19a8d90e7a1481891ee81a4e4e08372,0,"Okay, so how about $200 that's  pretty much what I can do right now taking my budget into consideration",
C_d19a8d90e7a1481891ee81a4e4e08372,1,"I have a standing offer right now for $290 but they can't pick it up untill saturday, if you can match that it's yours",
C_d19a8d90e7a1481891ee81a4e4e08372,0,"Okay, with the memory given and it being new I can accept it but I would pay in installments would that be okay? cause I don't have the full amount in me right now",
C_d19a8d90e7a1481891ee81a4e4e08372,1,For $290?,
C_d19a8d90e7a1481891ee81a4e4e08372,0,Yes!,
C_d19a8d90e7a1481891ee81a4e4e08372,1,"I will take payments, and you can have it once it is paid off",
C_d19a8d90e7a1481891ee81a4e4e08372,0,great thank you then we got a deal!,
C_c752a7fe23c846808ecc425c91ef3540,1,This car will get you laid.,
C_c752a7fe23c846808ecc425c91ef3540,0,"Funny, I highly doubt a 14 y/o car will get anyone laid",
C_c752a7fe23c846808ecc425c91ef3540,1,"Just cause you haven't had one yet. Look at it. It's beautiful, not so many miles, the odemeter only spun around once.",
C_c752a7fe23c846808ecc425c91ef3540,0,Too be honest don't like the front bumper would be better without that black cover,
C_c752a7fe23c846808ecc425c91ef3540,1,"Oh, you can rip that off, and use it to wrap up your next date",
C_c752a7fe23c846808ecc425c91ef3540,0,what's it with you and dates?,
C_c752a7fe23c846808ecc425c91ef3540,1,"The car also has headlights, windshield wipers - and doors.",
C_c752a7fe23c846808ecc425c91ef3540,0,All cars have that how much are you asking for?,
C_c752a7fe23c846808ecc425c91ef3540,1,3500,
C_c752a7fe23c846808ecc425c91ef3540,0,How about 3000,
C_c752a7fe23c846808ecc425c91ef3540,1,"I'll throw in Luminal and Bleech, did I mention how spacious the trunk is?",
C_c752a7fe23c846808ecc425c91ef3540,0,"Not fond of manual transmissions, not going to pay 3500 for one",
C_c752a7fe23c846808ecc425c91ef3540,1,Meet in the middle?,
C_c752a7fe23c846808ecc425c91ef3540,0,3250? Sure,
C_3501667fc3eb421bbebdb1990010dd13,0,"hey, man i gotta say this seems a little over priced",
C_3501667fc3eb421bbebdb1990010dd13,1,"For a Royce Union? No, these go for $1200 brand new, I'm only selling in because I have medical bills for my daughter I need to pay.",
C_3501667fc3eb421bbebdb1990010dd13,0,how old is your daughter?,
C_3501667fc3eb421bbebdb1990010dd13,1,12,
C_3501667fc3eb421bbebdb1990010dd13,0,"1200, new ? I have a hard time believeing that",
C_3501667fc3eb421bbebdb1990010dd13,1,"Look it up, these are very high end bikes",
C_3501667fc3eb421bbebdb1990010dd13,0,"i mean, it seems like you just like the number 12. ain't gonna google this mang",
C_3501667fc3eb421bbebdb1990010dd13,1,"Ha, I didn't even notice that, but yeah, it's all true, would you like to take it for a ride?",
C_3501667fc3eb421bbebdb1990010dd13,0,"nah, but i'll offer you 70$",
C_3501667fc3eb421bbebdb1990010dd13,1,"No, I really need the $120, her last doctor visit was that much alone.",
C_3501667fc3eb421bbebdb1990010dd13,0,"u should get some better insurance, and sell me it for $80, cuz of that tip i just gave u",
C_3501667fc3eb421bbebdb1990010dd13,1,"That is with really good insurance, it's just Obama care sucks. Lowest I can go is $115",
C_3501667fc3eb421bbebdb1990010dd13,0,man u drivin=g such a hard bargani. i'l give u 90,
C_3501667fc3eb421bbebdb1990010dd13,1,"I can't man, I gotta feed my 12 kids too",
C_3501667fc3eb421bbebdb1990010dd13,0,there u go,
C_3ae4537d69144ebf839fb1e6e1d69d00,0,Hi there... I am interested ..,
C_3ae4537d69144ebf839fb1e6e1d69d00,1,Ok! So what is your price?,
C_3ae4537d69144ebf839fb1e6e1d69d00,0,"well I see they say new, so they have never been used?",
C_3ae4537d69144ebf839fb1e6e1d69d00,1,Nope! Item is brand new! I am asking $10 for it!,
C_3ae4537d69144ebf839fb1e6e1d69d00,0,I am on a budget I was hoping to pay $7.,
C_3ae4537d69144ebf839fb1e6e1d69d00,1,Well it is brand! How about $8.,
C_3ae4537d69144ebf839fb1e6e1d69d00,0,are there any other perks to this?,
C_3ae4537d69144ebf839fb1e6e1d69d00,1,It is compatible with many RIM Blackberry Smartphone PDA models. Is there a particular model you are trying to use the headset for? I can tell you if it is compatible!,
C_3ae4537d69144ebf839fb1e6e1d69d00,0,I am just trying to figure out if I GO ABOVE MY BUDGET I AM GETTING A REALLY GOOD QUALITY PRODUCT.,
C_3ae4537d69144ebf839fb1e6e1d69d00,1,Well I don't know what else to tell you! My asking price is $10 but I am willing to go down to $8. It is brand new never before used.,
C_3ae4537d69144ebf839fb1e6e1d69d00,0,OKAY DEAL,
C_3ae4537d69144ebf839fb1e6e1d69d00,1,Ok. Thanks!,
C_5adcf08c93e54eda8277970bf545117b,0,"ima give it to u straight mang, u over priced this big time",
C_5adcf08c93e54eda8277970bf545117b,1,"Well, I certainly disagree. Do you have a price in mind?",
C_5adcf08c93e54eda8277970bf545117b,0,i was like i give u $20,
C_5adcf08c93e54eda8277970bf545117b,1,"Well that's certainly not going to work. I'm willing to negotiate but you need to be serious with your offer. These are high quality binoculars that can take pictures, video, and have built in wi-fi.",
C_5adcf08c93e54eda8277970bf545117b,0,"i know these bad to peep on me neighor mang, she's hot",
C_5adcf08c93e54eda8277970bf545117b,1,"The purpose for which you choose to use these is up to you, though I'm not going to be able to sell them if you admit you're interested in using them for an illegal purpose such as peeping. Are you interested in purchasing these or not?",
C_5adcf08c93e54eda8277970bf545117b,0,"im very, very interesting in purchasing, for some bird watching *wink wink*. i'l lgive you 150",
C_5adcf08c93e54eda8277970bf545117b,1,That's less than half of what they're listed at. I'm willing to go to $300.,
C_5adcf08c93e54eda8277970bf545117b,0,"woah, that's still really high. can you help me out to like 200 at least?",
C_5adcf08c93e54eda8277970bf545117b,1,"I'm willing to meet in the middle at $250, but no lower. That's more than $100 off the list price.",
C_5adcf08c93e54eda8277970bf545117b,0,"you gotta work with me here, i'll go to 220. that's a good deal for u",
C_5adcf08c93e54eda8277970bf545117b,1,"Sorry, I don't think we're going to make a deal here.",
C_5adcf08c93e54eda8277970bf545117b,0,"ok ok ok , i'll give u 225",
C_5adcf08c93e54eda8277970bf545117b,1,I'm really not interested in going lower than $250. I'll add a 2G SD card in the deal if you'll come up to $250.,
C_5adcf08c93e54eda8277970bf545117b,0,"oh dang, now you got my attention. ima be able to save so many pictures of these ""birds",
C_31d34bf86f39428a9936414b7c40b940,0,Hi there,
C_31d34bf86f39428a9936414b7c40b940,1,"This is an awesome bike, would you like to make an offer",
C_31d34bf86f39428a9936414b7c40b940,0,I am interested but am on a limited budget..,
C_31d34bf86f39428a9936414b7c40b940,1,"This is a really high end bike, so keep that in mind, I already have the bike listed far below actual value",
C_31d34bf86f39428a9936414b7c40b940,0,How old is this bike?,
C_31d34bf86f39428a9936414b7c40b940,1,"I just bought it last year, but I broke my hip a few weeks ago and doctor said I'd never be able to ride it again",
C_31d34bf86f39428a9936414b7c40b940,0,woudl you be willing to take 360,
C_31d34bf86f39428a9936414b7c40b940,1,"No, I need the money to pay my medical bills. Thanks Obama",
C_31d34bf86f39428a9936414b7c40b940,0,The max I can do is $400.,
C_31d34bf86f39428a9936414b7c40b940,1,"I'm sorry, I can't go that low. The bmc compact road bars are worth that by themselves.",
C_31d34bf86f39428a9936414b7c40b940,0,what is yoru lowest price?,
C_31d34bf86f39428a9936414b7c40b940,1,"I can go down to $575, but that is my bottom dollar",
C_31d34bf86f39428a9936414b7c40b940,0,sorry that is just too much for my range.,
C_7e4796a456cc4f839138759450923492,0,"Hi, is this item spacious?",
C_7e4796a456cc4f839138759450923492,1,"yo, this thing is really sweet, but my kids just out grew it.",
C_7e4796a456cc4f839138759450923492,0,Yeah its pretty interesting. Do the kids enjoy it?,
C_7e4796a456cc4f839138759450923492,1,"oh you pop LED on it's like a rave in the kids rooms, it's great. they loved it",
C_7e4796a456cc4f839138759450923492,0,Great! Although the price that you have mentioned doesn't work for me. Its too pricey for me. What can we do?,
C_7e4796a456cc4f839138759450923492,1,I can't really go that much lower but I'll sell it to you for 45,
C_7e4796a456cc4f839138759450923492,0,I can do 39 please because that's what I can afford at the moment,
C_7e4796a456cc4f839138759450923492,1,that's pretty fair but I just need one more dollar,
C_7e4796a456cc4f839138759450923492,0,okay 40 should still work for me? We've got a deal?,
C_7e4796a456cc4f839138759450923492,1,"yes, that's perfect",
C_3cfdfad9aa444a089c7dab41dcb15a4d,1,hello,
C_3cfdfad9aa444a089c7dab41dcb15a4d,0,Hi there. I saw your ad of the wood glass book case. It really got my attention. I loved the interior of it. Is it new or used?,
C_3cfdfad9aa444a089c7dab41dcb15a4d,1,its used so that is why im selling it for a really good deal of 95,
C_3cfdfad9aa444a089c7dab41dcb15a4d,0,Yeah but the amount is too much for me. I can afford to pay 72 for it. That's what I got since its used I would really appreciate if we could work that out,
C_3cfdfad9aa444a089c7dab41dcb15a4d,1,this is an antique so although it is used it is very good bookcase,
C_3cfdfad9aa444a089c7dab41dcb15a4d,0,Okay how about $75?,
C_3cfdfad9aa444a089c7dab41dcb15a4d,1,90,
C_3cfdfad9aa444a089c7dab41dcb15a4d,0,That's too much for me I honestly can't afford that,
C_3cfdfad9aa444a089c7dab41dcb15a4d,1,i can bring it to you,
