Index,User,Text,Resistance Labels,,
C_6acfbb77fa784bd4bbe7563b45452d14,0,I am not willing to pay anymore. Take it or leave it.,Self Assertion-Empowerment,,
C_6acfbb77fa784bd4bbe7563b45452d14,1,You're going to miss out on a great phone for the price. I could go $190 but that's as low as I'll go.,Self Assertion-Empowerment,,
C_6acfbb77fa784bd4bbe7563b45452d14,0,Alright. I will take it for $190.,,,
C_6acfbb77fa784bd4bbe7563b45452d14,1,deal.,,,
C_b46c1eed52b540c6acb08482e94d9d0f,0,Hey. How long have you had this couch for?,Information Inquiry-Contesting,,
C_b46c1eed52b540c6acb08482e94d9d0f,1,"HI, we've had it a couple years",,,
C_b46c1eed52b540c6acb08482e94d9d0f,0,Okay. Did anyone smoke where the couch was?,Information Inquiry-Contesting,,
C_b46c1eed52b540c6acb08482e94d9d0f,1,"Oh, no, none of us are smokers and it was bought new, so that's not an issue.",,,
C_b46c1eed52b540c6acb08482e94d9d0f,0,Okay great.  Is there any damage to the couch? Do you have a picture?,Source Derogation-Contesting,,
C_b46c1eed52b540c6acb08482e94d9d0f,1,"Sorry, ,I don't have a photo. But it has no damage, you would see when you picked it up.",,,
C_b46c1eed52b540c6acb08482e94d9d0f,0,Okay.  How much are you trying to sell it for?,,,
C_b46c1eed52b540c6acb08482e94d9d0f,1,I'm asking $40 and have come down a bit to that,Hesitance-Hesitance,,
C_b46c1eed52b540c6acb08482e94d9d0f,0,40 is good to me.  I can pick it up this weekend.  Cool?,,,
C_b46c1eed52b540c6acb08482e94d9d0f,1,"Hey, great! It's a deal. This weekend works fine.",,,
C_b46c1eed52b540c6acb08482e94d9d0f,0,Awesome,,,
C_b46c1eed52b540c6acb08482e94d9d0f,1,"Thanks, see you then.",,,
C_b46c1eed52b540c6acb08482e94d9d0f,0,You too. Bye,,,
C_b46c1eed52b540c6acb08482e94d9d0f,1,bye,,,
C_bbd4de0076cb4d7bb4cc8f4bb9afbf98,0,I'm interested in your hutch.  Will you take $200?,,,
C_bbd4de0076cb4d7bb4cc8f4bb9afbf98,1,"no, that's way too low, brand new it would be 2000 and yeah, it's not brand new but still",Self Assertion-Empowerment,,
C_bbd4de0076cb4d7bb4cc8f4bb9afbf98,0,"$2000 from Costco?  You need to stay out of that place, you got robbed.  I'm willing to go up to $225 because my mom needs a new desk soon.",Source Derogation-Contesting,,
C_bbd4de0076cb4d7bb4cc8f4bb9afbf98,1,"it's been very well taken care of, you wouldn't even know it was used how about 600 and I'll even help you move it to your vehicle",Personal Choice-Empowerment,,
C_bbd4de0076cb4d7bb4cc8f4bb9afbf98,0,I will take it for $300 if you throw in that printer too.,Personal Choice-Empowerment,,
C_bbd4de0076cb4d7bb4cc8f4bb9afbf98,1,"ahhh man, you hear that breaking sound?  that's my balls, man!  come on.. how about five hundred, and yeah, I throw in the printer.",Hesitance-Hesitance,,
C_bbd4de0076cb4d7bb4cc8f4bb9afbf98,0,"Alright, $325.  Printer, all the books and the wires hanging in the back.  Do you have a computer chair>",Self Assertion-Empowerment,,
C_bbd4de0076cb4d7bb4cc8f4bb9afbf98,1,"sorry, man the books I need... and the chair stays how about the hutch and the printer.. 400.  that's my final offer",Self Assertion-Empowerment,,
C_bbd4de0076cb4d7bb4cc8f4bb9afbf98,0,"$375, printer, hutch and you help loading?",Personal Choice-Empowerment,,
C_bbd4de0076cb4d7bb4cc8f4bb9afbf98,1,"fine... I gotta your robbing me blind.  My kids will have to tighten their belts for the next week with all the money you're stealing from me.  but yeah, I'll do it",Self Pity-Empowement,,
C_bbd4de0076cb4d7bb4cc8f4bb9afbf98,0,Pleasure doing business with you.  Give your kids my regards.,,,
C_dfbc28eec05f496f85cc35ccd7e64ace,1,200 is a good price for this item,,,
C_dfbc28eec05f496f85cc35ccd7e64ace,0,"It is too high for me, I was thinking more around 100",Self Pity-Empowement,,
C_dfbc28eec05f496f85cc35ccd7e64ace,1,i just upgraded it so how about 165,Hesitance-Hesitance,,
C_dfbc28eec05f496f85cc35ccd7e64ace,0,how old is the item?,Information Inquiry-Contesting,,
C_dfbc28eec05f496f85cc35ccd7e64ace,1,i ot it a year ago,,,
C_dfbc28eec05f496f85cc35ccd7e64ace,0,The price seems too high for  a used one. how about 120?,Counter Argumentation-Contesting,,
C_dfbc28eec05f496f85cc35ccd7e64ace,1,140 and I will bring it to you right now,Personal Choice-Empowerment,,
C_dfbc28eec05f496f85cc35ccd7e64ace,0,Do you have any speakers to throw in with it?,Information Inquiry-Contesting,,
C_dfbc28eec05f496f85cc35ccd7e64ace,1,yes i do,,,
C_dfbc28eec05f496f85cc35ccd7e64ace,0,oktereceiveradpeakerfor140,,,
C_a7816b4e06fb4d09b45eeec7ea127f19,0,Hello how are you?,,,
C_a7816b4e06fb4d09b45eeec7ea127f19,1,"good, how about you?",,,
C_a7816b4e06fb4d09b45eeec7ea127f19,0,I am fine thanks.,,,
C_a7816b4e06fb4d09b45eeec7ea127f19,1,are you interested in the case?,,,
C_a7816b4e06fb4d09b45eeec7ea127f19,0,Yes is it brand new?,Information Inquiry-Contesting,,
C_a7816b4e06fb4d09b45eeec7ea127f19,1,absolutely and still in the package,,,
C_a7816b4e06fb4d09b45eeec7ea127f19,0,Are these good if you drop the phone?,Information Inquiry-Contesting,,
C_a7816b4e06fb4d09b45eeec7ea127f19,1,yes,,,
C_a7816b4e06fb4d09b45eeec7ea127f19,0,Can you still fit it in your pocket with the case on?,Information Inquiry-Contesting,,
C_a7816b4e06fb4d09b45eeec7ea127f19,1,yes,,,
C_a7816b4e06fb4d09b45eeec7ea127f19,0,Is the price firm?,,,
C_a7816b4e06fb4d09b45eeec7ea127f19,1,pretty much.  how much would you be willing to pay?,,,
C_a7816b4e06fb4d09b45eeec7ea127f19,0,I would like to pay $22.,Hesitance-Hesitance,,
C_a7816b4e06fb4d09b45eeec7ea127f19,1,I'll accept 23.50,,,
C_a7816b4e06fb4d09b45eeec7ea127f19,0,Ok I can do that.,,,
C_a7816b4e06fb4d09b45eeec7ea127f19,1,we've got a deal!,,,
C_1b411df35b1842f697e301b4c81494de,0,What direction do the windows face in the apartment?,Information Inquiry-Contesting,,
C_1b411df35b1842f697e301b4c81494de,1,East,,,
C_1b411df35b1842f697e301b4c81494de,0,What floor is the apartment on?,Information Inquiry-Contesting,,
C_1b411df35b1842f697e301b4c81494de,1,first,,,
C_1b411df35b1842f697e301b4c81494de,0,How many parking places do I get?,Information Inquiry-Contesting,,
C_1b411df35b1842f697e301b4c81494de,1,one,,,
C_1b411df35b1842f697e301b4c81494de,0,What utilities are included in the rent?,Information Inquiry-Contesting,,
C_1b411df35b1842f697e301b4c81494de,1,water,,,
C_1b411df35b1842f697e301b4c81494de,0,How much are you asking for the rent?,Information Inquiry-Contesting,,
C_1b411df35b1842f697e301b4c81494de,1,"$1,800.00",,,
C_1b411df35b1842f697e301b4c81494de,0,Do I have to pay first and last month?,Information Inquiry-Contesting,,
C_1b411df35b1842f697e301b4c81494de,1,No,,,
C_1b411df35b1842f697e301b4c81494de,0,How about a security deposit?,Information Inquiry-Contesting,,
C_1b411df35b1842f697e301b4c81494de,1,Security deposit is $2000,,,
C_1b411df35b1842f697e301b4c81494de,0,I am willing to offer 1800 for the rent but only want to tie up 1500 as a security deposit.  Okay?,Hesitance-Hesitance,,
C_1b411df35b1842f697e301b4c81494de,1,how about 1800 for security deposit?,Hesitance-Hesitance,,
C_1b411df35b1842f697e301b4c81494de,0,Okay,,,
C_ee168e609e9a4f0dabfccbad56f2dcdd,0,"Hi, I'm interested in the 2001 Rav 4",,,
C_ee168e609e9a4f0dabfccbad56f2dcdd,1,It is a great car. It runs great. I'm asking $4000.,,,
C_ee168e609e9a4f0dabfccbad56f2dcdd,0,"That's way out of my budget, plus it seems a bit steep for such an old car.",Counter Argumentation-Contesting,,
C_ee168e609e9a4f0dabfccbad56f2dcdd,1,"It may be old, but it runs great. Has lower mileage and a clean title.",Counter Argumentation-Contesting,,
C_ee168e609e9a4f0dabfccbad56f2dcdd,0,Why are you selling it?,Source Derogation-Contesting,,
C_ee168e609e9a4f0dabfccbad56f2dcdd,1,I'm going to get a motorcycle instead. How much are you willing to pay?,,,
C_ee168e609e9a4f0dabfccbad56f2dcdd,0,"I'm very interested, but it's out of my price point. I'd like to pay around 2,500 for my next car.",Hesitance-Hesitance,,
C_ee168e609e9a4f0dabfccbad56f2dcdd,1,"You can't get a car like this for that low. I checked the Blue Book, and what I'm asking is right in range. I'll tell you what. I have a friend who is a mechanic. If you give me $3500, I'll have him check it out for you for free.",Counter Argumentation-Contesting,,
C_ee168e609e9a4f0dabfccbad56f2dcdd,0,"I could go up to $3,000",Hesitance-Hesitance,,
C_ee168e609e9a4f0dabfccbad56f2dcdd,1,How about $3400?,Hesitance-Hesitance,,
C_ee168e609e9a4f0dabfccbad56f2dcdd,0,"Believe me, I wish I had that much saved. The absolute highest I could go is $3,200",Self Pity-Empowement,,
C_ee168e609e9a4f0dabfccbad56f2dcdd,1,"No, too low. I'm close to the Blue Book value. If you pay $3400 and something goes wrong in the next three months, I'll refund your money. You rarely get a warranty like tha!",Personal Choice-Empowerment,,
C_cb2ffc16562b427497078545d01fadd6,0,Hey what condition is the alarm clock dock in?,Information Inquiry-Contesting,,
C_cb2ffc16562b427497078545d01fadd6,1,Like new,,,
C_cb2ffc16562b427497078545d01fadd6,0,Sounds pretty good. Will it work with any iPhone? Even older ones?,Information Inquiry-Contesting,,
C_cb2ffc16562b427497078545d01fadd6,1,"Worls with iphone  and ipods, fits iphone 5 or less",,,
C_cb2ffc16562b427497078545d01fadd6,0,Does it also work for iPhone 6 and 7?,Information Inquiry-Contesting,,
C_cb2ffc16562b427497078545d01fadd6,1,"Noe only iphone 5 or less, I can let it go for a deal but only right now at $45",,,
C_cb2ffc16562b427497078545d01fadd6,0,Okay. Before I decide...what color is it?,Information Inquiry-Contesting,,
C_cb2ffc16562b427497078545d01fadd6,1,Comes in black,,,
C_cb2ffc16562b427497078545d01fadd6,0,Okay. Then we have a deal. 45 and I can google wallet you the money when I pick it up today. Cool?,,,
C_cb2ffc16562b427497078545d01fadd6,1,Yup its a deal,,,
C_71bd0d14dcfa40bea6abb07483c5cfd6,1,Hello! I am selling a night stand from a store called The Crate & Barrel. It is a very nice night stand!,,,
C_71bd0d14dcfa40bea6abb07483c5cfd6,0,hi! i am interested in buying but how good is the condition?,Source Derogation-Contesting,,
C_71bd0d14dcfa40bea6abb07483c5cfd6,1,It is very good. It is actually a family heirloom passed down by my grandmother and she recently passed away 2 days ago. The nightstand is empty however. Her stuff have been emptied.,,,
C_71bd0d14dcfa40bea6abb07483c5cfd6,0,im sorry to hear to that. for how much do you wanna give it away?,,,
C_71bd0d14dcfa40bea6abb07483c5cfd6,1,"Well her will listed the value of this item at 200 US dollars, but if you pick it up from her home I am willing to go lower.",,,
C_71bd0d14dcfa40bea6abb07483c5cfd6,0,how lower would you go then?,,,
C_71bd0d14dcfa40bea6abb07483c5cfd6,1,190$ and I can provide lemonade as you move it out.,,,
C_71bd0d14dcfa40bea6abb07483c5cfd6,0,that would be nice. but how about 180 since im the one picking it up and with its one handle missing?,Counter Argumentation-Contesting,,
C_71bd0d14dcfa40bea6abb07483c5cfd6,1,"I can attach it for you, but I am needing the money because I am short for paying my grandma's funeral for $190.",Self Pity-Empowement,,
C_71bd0d14dcfa40bea6abb07483c5cfd6,0,im sorry to hear that. 190 would be good.,,,
C_71bd0d14dcfa40bea6abb07483c5cfd6,1,Thats okay she was very old. I think 98,,,
C_373683cc6d9645a2a561e2b3f053ceff,0,I'm really intersted in the chairs. Are there any scratches?,Source Derogation-Contesting,,
C_373683cc6d9645a2a561e2b3f053ceff,1,There are a few minor scratches on some of the chairs,,,
C_373683cc6d9645a2a561e2b3f053ceff,0,"How about the cushions, any holes?",Source Derogation-Contesting,,
C_373683cc6d9645a2a561e2b3f053ceff,1,No.  We reupholstered them after we purchased the chairs last fall,,,
C_373683cc6d9645a2a561e2b3f053ceff,0,Cool. I was hoping you would be willing to let them go for a little below your listed price.,,,
C_373683cc6d9645a2a561e2b3f053ceff,1,"I'm willing to negotiate, but I'm not going to accept an unreasonable offer.  Even with the scratches they're still nice chairs!",Counter Argumentation-Contesting,,
C_373683cc6d9645a2a561e2b3f053ceff,0,"I believe you. I want to make sure it's a fair price. You want about 26 per chair, I was hoping to get them for about 18 per chair.",Hesitance-Hesitance,,
C_373683cc6d9645a2a561e2b3f053ceff,1,Would you be willing to split the difference at 22 per chair?,Hesitance-Hesitance,,
C_373683cc6d9645a2a561e2b3f053ceff,0,I was hoping to pay less because I don't have a truck so I will need to pay a friend to pick them up.,Personal Choice-Empowerment,,
C_373683cc6d9645a2a561e2b3f053ceff,1,"Well, I could deliver them a little bit further than Hayward, if that helps",Personal Choice-Empowerment,,
C_373683cc6d9645a2a561e2b3f053ceff,0,That acutally would help. Would you be willing to do that for the $22 per chair?,,,
C_373683cc6d9645a2a561e2b3f053ceff,1,Yes,,,
C_373683cc6d9645a2a561e2b3f053ceff,0,"Great, I'm just a little outside of hayward in union city so it's not too far. Would tomorrow be good. I can work around your schedule.",,,
C_373683cc6d9645a2a561e2b3f053ceff,1,"I'm free all day tomorrow, so that would work for me!",,,
C_373683cc6d9645a2a561e2b3f053ceff,0,"Great, thanks. I'm going to input the offer now at $132.",,,
C_373683cc6d9645a2a561e2b3f053ceff,1,Sounds good -- is that going to show up on my screen too?  Based on the instructions it looks like it should,,,
C_a02652fd38a445c7ae0db8a806f2227c,0,i am interested in your bike,,,
C_a02652fd38a445c7ae0db8a806f2227c,1,Great it is for sale,,,
C_a02652fd38a445c7ae0db8a806f2227c,0,will you be delivering it?,Information Inquiry-Contesting,,
C_a02652fd38a445c7ae0db8a806f2227c,1,I sure will,,,
C_a02652fd38a445c7ae0db8a806f2227c,0,and how much are you selling it for?,,,
C_a02652fd38a445c7ae0db8a806f2227c,1,600,Hesitance-Hesitance,,
C_a02652fd38a445c7ae0db8a806f2227c,0,that is too high cant you come lower,,,
C_a02652fd38a445c7ae0db8a806f2227c,1,My final offer is 550.,Self Assertion-Empowerment,,
C_a02652fd38a445c7ae0db8a806f2227c,0,how good is the condition?,Information Inquiry-Contesting,,
C_a02652fd38a445c7ae0db8a806f2227c,1,Mint and it looks like new; aircraft alluminum and size 56.,,,
C_a02652fd38a445c7ae0db8a806f2227c,0,how about for 400?,Hesitance-Hesitance,,
C_a02652fd38a445c7ae0db8a806f2227c,1,Sorry but my wife won't let me go below $550.,Hesitance-Hesitance,,
C_a02652fd38a445c7ae0db8a806f2227c,0,and that is too high for me,Self Assertion-Empowerment,,
C_be47a0af664a4cd096a270631bf03b8e,1,"Hi there, how are you today?",,,
C_be47a0af664a4cd096a270631bf03b8e,0,What are the dimensions?,Information Inquiry-Contesting,,
C_be47a0af664a4cd096a270631bf03b8e,1,"40 by 60 inches . fairly large, in good condition.",,,
C_be47a0af664a4cd096a270631bf03b8e,0,Does the chair have rollers?,Information Inquiry-Contesting,,
C_be47a0af664a4cd096a270631bf03b8e,1,"yes, it does/",,,
C_be47a0af664a4cd096a270631bf03b8e,0,It's bigger than I had wanted but might be able to make it work. Would you take $30?,,,
C_be47a0af664a4cd096a270631bf03b8e,1,I would be wiling to do $40 with delivery included.,Personal Choice-Empowerment,,
C_be47a0af664a4cd096a270631bf03b8e,0,I can pick it up but thanks for offering. Best I could do is $32,Personal Choice-Empowerment,,
C_be47a0af664a4cd096a270631bf03b8e,1,$35and you have adeal.,Self Assertion-Empowerment,,
C_be47a0af664a4cd096a270631bf03b8e,0,"okay, $35",,,
C_605dbfbe17a84018aa9e4367f893b155,1,are you will to buy it,,,
C_605dbfbe17a84018aa9e4367f893b155,0,yes,,,
C_605dbfbe17a84018aa9e4367f893b155,1,i can offer you this item for 175$ with original box manual and remote,,,
C_605dbfbe17a84018aa9e4367f893b155,0,a bit lower than that maybe?,Hesitance-Hesitance,,
C_605dbfbe17a84018aa9e4367f893b155,1,165$ can be a good deal,Hesitance-Hesitance,,
C_605dbfbe17a84018aa9e4367f893b155,0,how about the condition?,Information Inquiry-Contesting,,
C_605dbfbe17a84018aa9e4367f893b155,1,"it new light used only, only 6 to 7 month old. still under warranty",,,
C_605dbfbe17a84018aa9e4367f893b155,0,how about the shipping?,Information Inquiry-Contesting,,
C_605dbfbe17a84018aa9e4367f893b155,1,i you are willing to pay 170 i can make the shipping what  do you say?,Personal Choice-Empowerment,,
C_605dbfbe17a84018aa9e4367f893b155,0,but you cant ship with 165?,Source Derogation-Contesting,,
C_605dbfbe17a84018aa9e4367f893b155,1,5$ isn't much for this item.,Counter Argumentation-Contesting,,
C_605dbfbe17a84018aa9e4367f893b155,0,yeah i know i think 170 is good with free shipping,,,
C_605dbfbe17a84018aa9e4367f893b155,1,can we have the deal,,,
C_59d78671fc644d42a8c392cbfcd1bfe8,1,So you're looking at this sweet bike...,,,
C_59d78671fc644d42a8c392cbfcd1bfe8,0,Hi I am interested in the bike and would like to offer $420.,Hesitance-Hesitance,,
C_59d78671fc644d42a8c392cbfcd1bfe8,1,"I'm really hesitant to part with it for less than 450, though 420 is definitely a good number.",Hesitance-Hesitance,,
C_59d78671fc644d42a8c392cbfcd1bfe8,0,"It is a nice bike, but I am not a fan of the Benny Bars, so I would have to spend some money to change them out.",Counter Argumentation-Contesting,,
C_59d78671fc644d42a8c392cbfcd1bfe8,1,"I understand, though those Benny bars are pretty appealing to a lot of people.",,,
C_59d78671fc644d42a8c392cbfcd1bfe8,0,Let's meet in the middle. How about $435?,Hesitance-Hesitance,,
C_59d78671fc644d42a8c392cbfcd1bfe8,1,440 and you got a deal.,Self Assertion-Empowerment,,
C_59d78671fc644d42a8c392cbfcd1bfe8,0,I like to get a little bargain. What about $438?,Hesitance-Hesitance,,
C_59d78671fc644d42a8c392cbfcd1bfe8,1,"All right, $438 for a happy customer. Nice doing business!",,,
C_59d78671fc644d42a8c392cbfcd1bfe8,0,Deal!!!,,,
C_e83ae2d2e5c64d6a9b8ed649c7d06f84,1,Hi!,,,
C_e83ae2d2e5c64d6a9b8ed649c7d06f84,0,Hi I'm interested in this car,,,
C_e83ae2d2e5c64d6a9b8ed649c7d06f84,1,Great. It is in awesome shape.,,,
C_e83ae2d2e5c64d6a9b8ed649c7d06f84,0,It's more then I would like to spend though,Hesitance-Hesitance,,
C_e83ae2d2e5c64d6a9b8ed649c7d06f84,1,How much are you wanting to spend?,,,
C_e83ae2d2e5c64d6a9b8ed649c7d06f84,0,umm I was thinking around 2660$,Hesitance-Hesitance,,
C_e83ae2d2e5c64d6a9b8ed649c7d06f84,1,I could do 3200. It has new tires.,Counter Argumentation-Contesting,,
C_e83ae2d2e5c64d6a9b8ed649c7d06f84,0,"well, that's a bit high...",Hesitance-Hesitance,,
C_e83ae2d2e5c64d6a9b8ed649c7d06f84,1,I feel based on kelly blue book it is a fair offer. I have put a lot of work in this car to get it in great shape.,Counter Argumentation-Contesting,,
C_e83ae2d2e5c64d6a9b8ed649c7d06f84,0,"Are you good at detailing the inside and outside of cars? I'll pay 3200 if you throw in free detailing for the next two years, at least twice a year.",Personal Choice-Empowerment,,
C_e83ae2d2e5c64d6a9b8ed649c7d06f84,1,No. I can't do that. I will get it professionally detailed before meeting you but that is it.,,,
C_e83ae2d2e5c64d6a9b8ed649c7d06f84,0,okay then I can only do 2950,Self Assertion-Empowerment,,
C_e83ae2d2e5c64d6a9b8ed649c7d06f84,1,I can do 3000. That is the absolute lowest I can go.,Self Assertion-Empowerment,,
C_e83ae2d2e5c64d6a9b8ed649c7d06f84,0,okay deal.,,,
C_076ee5c7626747859b7191215d19a229,0,"I would like to purchase this item, but please could you give me some details about it?",Information Inquiry-Contesting,,
C_076ee5c7626747859b7191215d19a229,1,"SUre, It is in very good shape, the paint is clean and there is no rust It is a large bike so you have to  be steady while riding it, it is a bit different that riding a single bike.",,,
C_076ee5c7626747859b7191215d19a229,0,Great thanks. This would be a good addition to my collection. Is it new or used though?,Information Inquiry-Contesting,,
C_076ee5c7626747859b7191215d19a229,1,It is very gently used. Used a few times last summer.,,,
C_076ee5c7626747859b7191215d19a229,0,Okay so I can probably give around $114 for it. How about that?,Hesitance-Hesitance,,
C_076ee5c7626747859b7191215d19a229,1,Well I was asking 150 but could go as low as 120.00,Hesitance-Hesitance,,
